! GC21_MW_DM_halo.txt
! R    D    M    P
600
4.816411e+01 3.004774e-05 4.596014e+01 -1.708470e+00
4.866477e+01 2.924240e-05 4.639727e+01 -1.698606e+00
4.916544e+01 2.846432e-05 4.683157e+01 -1.688851e+00
4.966611e+01 2.771239e-05 4.726306e+01 -1.679205e+00
5.016678e+01 2.698555e-05 4.769175e+01 -1.669665e+00
5.066745e+01 2.628277e-05 4.811765e+01 -1.660229e+00
5.116811e+01 2.560309e-05 4.854078e+01 -1.650895e+00
5.166878e+01 2.494560e-05 4.896115e+01 -1.641663e+00
5.216945e+01 2.430940e-05 4.937878e+01 -1.632530e+00
5.267012e+01 2.369368e-05 4.979368e+01 -1.623495e+00
5.317078e+01 2.309762e-05 5.020587e+01 -1.614556e+00
5.367145e+01 2.252046e-05 5.061537e+01 -1.605712e+00
5.417212e+01 2.196149e-05 5.102219e+01 -1.596960e+00
5.467279e+01 2.142001e-05 5.142634e+01 -1.588301e+00
5.517346e+01 2.089535e-05 5.182785e+01 -1.579732e+00
5.567412e+01 2.038688e-05 5.222674e+01 -1.571252e+00
5.617479e+01 1.989401e-05 5.262301e+01 -1.562859e+00
5.667546e+01 1.941614e-05 5.301669e+01 -1.554553e+00
5.717613e+01 1.895272e-05 5.340779e+01 -1.546331e+00
5.767679e+01 1.850324e-05 5.379633e+01 -1.538193e+00
5.817746e+01 1.806717e-05 5.418233e+01 -1.530138e+00
5.867813e+01 1.764404e-05 5.456580e+01 -1.522163e+00
5.917880e+01 1.723338e-05 5.494677e+01 -1.514268e+00
5.967947e+01 1.683475e-05 5.532525e+01 -1.506452e+00
6.018013e+01 1.644773e-05 5.570126e+01 -1.498713e+00
6.068080e+01 1.607190e-05 5.607481e+01 -1.491050e+00
6.118147e+01 1.570687e-05 5.644593e+01 -1.483463e+00
6.168214e+01 1.535226e-05 5.681463e+01 -1.475950e+00
6.218280e+01 1.500773e-05 5.718093e+01 -1.468510e+00
6.268347e+01 1.467292e-05 5.754484e+01 -1.461142e+00
6.318414e+01 1.434750e-05 5.790639e+01 -1.453844e+00
6.368481e+01 1.403115e-05 5.826560e+01 -1.446617e+00
6.418548e+01 1.372357e-05 5.862247e+01 -1.439458e+00
