! MW_GC21_model.txt
! R    D    M    P
499
5.801603e+01 1.828664e-05 5.447978e+01 -1.539600e+00
5.861723e+01 1.777150e-05 5.494295e+01 -1.529928e+00
5.921844e+01 1.727459e-05 5.540245e+01 -1.520372e+00
5.981964e+01 1.679513e-05 5.585830e+01 -1.510930e+00
6.042084e+01 1.633238e-05 5.631056e+01 -1.501601e+00
6.102204e+01 1.588564e-05 5.675923e+01 -1.492382e+00
6.162325e+01 1.545424e-05 5.720437e+01 -1.483272e+00
6.222445e+01 1.503754e-05 5.764599e+01 -1.474268e+00
6.282565e+01 1.463495e-05 5.808414e+01 -1.465369e+00
6.342685e+01 1.424589e-05 5.851883e+01 -1.456573e+00
6.402806e+01 1.386980e-05 5.895011e+01 -1.447878e+00
6.462926e+01 1.350617e-05 5.937800e+01 -1.439282e+00
6.523046e+01 1.315450e-05 5.980254e+01 -1.430784e+00
6.583166e+01 1.281431e-05 6.022375e+01 -1.422382e+00
6.643287e+01 1.248516e-05 6.064168e+01 -1.414074e+00
6.703407e+01 1.216661e-05 6.105634e+01 -1.405859e+00
6.763527e+01 1.185825e-05 6.146777e+01 -1.397736e+00
6.823647e+01 1.155968e-05 6.187600e+01 -1.389702e+00
6.883768e+01 1.127055e-05 6.228107e+01 -1.381756e+00
6.943888e+01 1.099047e-05 6.268299e+01 -1.373898e+00
7.004008e+01 1.071912e-05 6.308180e+01 -1.366124e+00
7.064128e+01 1.045617e-05 6.347754e+01 -1.358435e+00
7.124248e+01 1.020130e-05 6.387022e+01 -1.350828e+00
7.184369e+01 9.954209e-06 6.425989e+01 -1.343303e+00
7.244489e+01 9.714620e-06 6.464657e+01 -1.335858e+00
7.304609e+01 9.482255e-06 6.503028e+01 -1.328492e+00
7.364729e+01 9.256852e-06 6.541106e+01 -1.321203e+00
7.424850e+01 9.038160e-06 6.578894e+01 -1.313990e+00
7.484970e+01 8.825940e-06 6.616394e+01 -1.306853e+00
7.545090e+01 8.619959e-06 6.653609e+01 -1.299790e+00
7.605210e+01 8.419998e-06 6.690542e+01 -1.292799e+00
7.665331e+01 8.225846e-06 6.727196e+01 -1.285880e+00
7.725451e+01 8.037298e-06 6.763574e+01 -1.279032e+00
7.785571e+01 7.854161e-06 6.799678e+01 -1.272253e+00
7.845691e+01 7.676249e-06 6.835510e+01 -1.265543e+00
7.905812e+01 7.503380e-06 6.871075e+01 -1.258901e+00
7.965932e+01 7.335385e-06 6.906373e+01 -1.252324e+00
8.026052e+01 7.172097e-06 6.941409e+01 -1.245813e+00
8.086172e+01 7.013359e-06 6.976183e+01 -1.239367e+00
8.146293e+01 6.859017e-06 7.010700e+01 -1.232984e+00
8.206413e+01 6.708925e-06 7.044962e+01 -1.226664e+00
8.266533e+01 6.562943e-06 7.078970e+01 -1.220405e+00
8.326653e+01 6.420936e-06 7.112728e+01 -1.214208e+00
8.386774e+01 6.282773e-06 7.146238e+01 -1.208070e+00
8.446894e+01 6.148329e-06 7.179502e+01 -1.201991e+00
8.507014e+01 6.017485e-06 7.212524e+01 -1.195970e+00
8.567134e+01 5.890123e-06 7.245304e+01 -1.190007e+00
8.627255e+01 5.766134e-06 7.277846e+01 -1.184100e+00
8.687375e+01 5.645409e-06 7.310152e+01 -1.178249e+00
8.747495e+01 5.527845e-06 7.342225e+01 -1.172453e+00
8.807615e+01 5.413344e-06 7.374066e+01 -1.166712e+00
8.867735e+01 5.301809e-06 7.405677e+01 -1.161023e+00
8.927856e+01 5.193147e-06 7.437062e+01 -1.155387e+00
8.987976e+01 5.087270e-06 7.468223e+01 -1.149804e+00
9.048096e+01 4.984093e-06 7.499160e+01 -1.144271e+00
9.108216e+01 4.883532e-06 7.529878e+01 -1.138789e+00
9.168337e+01 4.785508e-06 7.560377e+01 -1.133357e+00
9.228457e+01 4.689944e-06 7.590660e+01 -1.127974e+00
9.288577e+01 4.596766e-06 7.620729e+01 -1.122640e+00
9.348697e+01 4.505902e-06 7.650586e+01 -1.117353e+00
9.408818e+01 4.417284e-06 7.680234e+01 -1.112114e+00
9.468938e+01 4.330844e-06 7.709674e+01 -1.106921e+00
9.529058e+01 4.246519e-06 7.738908e+01 -1.101775e+00
9.589178e+01 4.164246e-06 7.767938e+01 -1.096673e+00
9.649299e+01 4.083966e-06 7.796766e+01 -1.091617e+00
9.709419e+01 4.005620e-06 7.825395e+01 -1.086604e+00
9.769539e+01 3.929152e-06 7.853825e+01 -1.081636e+00
9.829659e+01 3.854509e-06 7.882059e+01 -1.076710e+00
9.889780e+01 3.781638e-06 7.910100e+01 -1.071827e+00
9.949900e+01 3.710489e-06 7.937948e+01 -1.066985e+00
1.001002e+02 3.641012e-06 7.965605e+01 -1.062185e+00
1.007014e+02 3.573162e-06 7.993074e+01 -1.057426e+00
1.013026e+02 3.506891e-06 8.020356e+01 -1.052708e+00
1.019038e+02 3.442156e-06 8.047453e+01 -1.048029e+00
1.025050e+02 3.378914e-06 8.074367e+01 -1.043389e+00
1.031062e+02 3.317124e-06 8.101099e+01 -1.038789e+00
1.037074e+02 3.256746e-06 8.127651e+01 -1.034226e+00
1.043086e+02 3.197741e-06 8.154025e+01 -1.029702e+00
1.049098e+02 3.140072e-06 8.180223e+01 -1.025215e+00
1.055110e+02 3.083702e-06 8.206245e+01 -1.020765e+00
1.061122e+02 3.028597e-06 8.232095e+01 -1.016351e+00
1.067134e+02 2.974721e-06 8.257773e+01 -1.011974e+00
1.073146e+02 2.922043e-06 8.283281e+01 -1.007632e+00
1.079158e+02 2.870530e-06 8.308621e+01 -1.003325e+00
1.085170e+02 2.820152e-06 8.333794e+01 -9.990532e-01
1.091182e+02 2.770878e-06 8.358801e+01 -9.948156e-01
1.097194e+02 2.722679e-06 8.383645e+01 -9.906119e-01
1.103206e+02 2.675528e-06 8.408327e+01 -9.864418e-01
1.109218e+02 2.629397e-06 8.432848e+01 -9.823047e-01
1.115230e+02 2.584259e-06 8.457210e+01 -9.782004e-01
1.121242e+02 2.540089e-06 8.481414e+01 -9.741284e-01
1.127255e+02 2.496862e-06 8.505462e+01 -9.700884e-01
1.133267e+02 2.454554e-06 8.529355e+01 -9.660799e-01
1.139279e+02 2.413141e-06 8.553094e+01 -9.621027e-01
1.145291e+02 2.372601e-06 8.576682e+01 -9.581563e-01
1.151303e+02 2.332911e-06 8.600119e+01 -9.542404e-01
1.157315e+02 2.294050e-06 8.623406e+01 -9.503547e-01
1.163327e+02 2.255998e-06 8.646546e+01 -9.464987e-01
