! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_2259.txt
! R    D    M    P
1000
1.000000e-01 6.019173e-05 1.086920e-17 -3.374489e-02
6.004004e-01 5.330618e-05 6.230920e-05 -3.372912e-02
1.100801e+00 4.737959e-05 3.032380e-04 -3.363620e-02
1.601201e+00 4.225578e-05 8.243743e-04 -3.349887e-02
2.101602e+00 3.780749e-05 1.690019e-03 -3.332563e-02
2.602002e+00 3.393045e-05 2.937314e-03 -3.312293e-02
3.102402e+00 3.053871e-05 4.583743e-03 -3.289608e-02
3.602803e+00 2.756104e-05 6.632694e-03 -3.264950e-02
4.103203e+00 2.493816e-05 9.077595e-03 -3.238691e-02
4.603604e+00 2.262046e-05 1.190498e-02 -3.211146e-02
5.104004e+00 2.056623e-05 1.509678e-02 -3.182583e-02
5.604404e+00 1.874031e-05 1.863198e-02 -3.153227e-02
6.104805e+00 1.711286e-05 2.248789e-02 -3.123269e-02
6.605205e+00 1.565852e-05 2.664105e-02 -3.092874e-02
7.105606e+00 1.435563e-05 3.106787e-02 -3.062180e-02
7.606006e+00 1.318564e-05 3.574510e-02 -3.031304e-02
8.106406e+00 1.213258e-05 4.065018e-02 -3.000348e-02
8.606807e+00 1.118269e-05 4.576143e-02 -2.969395e-02
9.107207e+00 1.032407e-05 5.105822e-02 -2.938519e-02
9.607608e+00 9.546383e-06 5.652105e-02 -2.907779e-02
1.010801e+01 8.840632e-06 6.213156e-02 -2.877228e-02
1.060841e+01 8.198973e-06 6.787259e-02 -2.846908e-02
1.110881e+01 7.614540e-06 7.372810e-02 -2.816856e-02
1.160921e+01 7.081312e-06 7.968320e-02 -2.787102e-02
1.210961e+01 6.593993e-06 8.572409e-02 -2.757671e-02
1.261001e+01 6.147918e-06 9.183798e-02 -2.728583e-02
1.311041e+01 5.738963e-06 9.801309e-02 -2.699855e-02
1.361081e+01 5.363481e-06 1.042385e-01 -2.671500e-02
1.411121e+01 5.018234e-06 1.105043e-01 -2.643528e-02
1.461161e+01 4.700346e-06 1.168013e-01 -2.615947e-02
1.511201e+01 4.407253e-06 1.231210e-01 -2.588763e-02
1.561241e+01 4.136669e-06 1.294558e-01 -2.561979e-02
1.611281e+01 3.886550e-06 1.357985e-01 -2.535597e-02
1.661321e+01 3.655065e-06 1.421428e-01 -2.509618e-02
1.711361e+01 3.440571e-06 1.484827e-01 -2.484042e-02
1.761401e+01 3.241594e-06 1.548130e-01 -2.458868e-02
1.811441e+01 3.056803e-06 1.611287e-01 -2.434092e-02
1.861481e+01 2.885002e-06 1.674255e-01 -2.409713e-02
1.911522e+01 2.725111e-06 1.736993e-01 -2.385725e-02
1.961562e+01 2.576150e-06 1.799465e-01 -2.362126e-02
2.011602e+01 2.437235e-06 1.861639e-01 -2.338911e-02
2.061642e+01 2.307564e-06 1.923485e-01 -2.316074e-02
2.111682e+01 2.186408e-06 1.984976e-01 -2.293611e-02
2.161722e+01 2.073104e-06 2.046089e-01 -2.271516e-02
2.211762e+01 1.967049e-06 2.106803e-01 -2.249783e-02
2.261802e+01 1.867693e-06 2.167098e-01 -2.228406e-02
2.311842e+01 1.774535e-06 2.226958e-01 -2.207380e-02
2.361882e+01 1.687116e-06 2.286369e-01 -2.186698e-02
2.411922e+01 1.605017e-06 2.345316e-01 -2.166354e-02
2.461962e+01 1.527854e-06 2.403789e-01 -2.146343e-02
2.512002e+01 1.455275e-06 2.461778e-01 -2.126658e-02
2.562042e+01 1.386957e-06 2.519275e-01 -2.107292e-02
2.612082e+01 1.322603e-06 2.576272e-01 -2.088241e-02
2.662122e+01 1.261939e-06 2.632763e-01 -2.069498e-02
2.712162e+01 1.204716e-06 2.688744e-01 -2.051056e-02
2.762202e+01 1.150701e-06 2.744210e-01 -2.032910e-02
2.812242e+01 1.099681e-06 2.799158e-01 -2.015055e-02
2.862282e+01 1.051459e-06 2.853587e-01 -1.997483e-02
2.912322e+01 1.005852e-06 2.907494e-01 -1.980191e-02
2.962362e+01 9.626918e-07 2.960879e-01 -1.963171e-02
3.012402e+01 9.218230e-07 3.013742e-01 -1.946419e-02
3.062442e+01 8.831008e-07 3.066083e-01 -1.929930e-02
3.112482e+01 8.463914e-07 3.117903e-01 -1.913696e-02
3.162523e+01 8.115704e-07 3.169204e-01 -1.897715e-02
3.212563e+01 7.785223e-07 3.219987e-01 -1.881980e-02
3.262603e+01 7.471401e-07 3.270254e-01 -1.866487e-02
3.312643e+01 7.173237e-07 3.320008e-01 -1.851230e-02
