! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_2240.txt
! R    D    M    P
1000
1.000000e-01 1.116168e-04 1.225935e-17 -4.076289e-02
6.004004e-01 9.590434e-05 1.122064e-04 -4.073364e-02
1.100801e+00 8.287968e-05 5.366678e-04 -4.056639e-02
1.601201e+00 7.200649e-05 1.432877e-03 -4.032438e-02
2.101602e+00 6.286980e-05 2.886374e-03 -4.002499e-02
2.602002e+00 5.514553e-05 4.933305e-03 -3.968098e-02
3.102402e+00 4.857831e-05 7.577247e-03 -3.930240e-02
3.602803e+00 4.296527e-05 1.080077e-02 -3.889736e-02
4.103203e+00 3.814404e-05 1.457339e-02 -3.847240e-02
4.603604e+00 3.398371e-05 1.885701e-02 -3.803285e-02
5.104004e+00 3.037801e-05 2.360963e-02 -3.758304e-02
5.604404e+00 2.724019e-05 2.878788e-02 -3.712650e-02
6.104805e+00 2.449897e-05 3.434868e-02 -3.666611e-02
6.605205e+00 2.209545e-05 4.025029e-02 -3.620423e-02
7.105606e+00 1.998074e-05 4.645304e-02 -3.574277e-02
7.606006e+00 1.811404e-05 5.291966e-02 -3.528330e-02
8.106406e+00 1.646112e-05 5.961549e-02 -3.482707e-02
8.606807e+00 1.499318e-05 6.650856e-02 -3.437511e-02
9.107207e+00 1.368584e-05 7.356951e-02 -3.392823e-02
9.607608e+00 1.251840e-05 8.077155e-02 -3.348708e-02
1.010801e+01 1.147323e-05 8.809030e-02 -3.305217e-02
1.060841e+01 1.053523e-05 9.550366e-02 -3.262388e-02
1.110881e+01 9.691444e-06 1.029917e-01 -3.220253e-02
1.160921e+01 8.930710e-06 1.105363e-01 -3.178831e-02
1.210961e+01 8.243384e-06 1.181213e-01 -3.138139e-02
1.261001e+01 7.621105e-06 1.257322e-01 -3.098186e-02
1.311041e+01 7.056606e-06 1.333559e-01 -3.058976e-02
1.361081e+01 6.543551e-06 1.409808e-01 -3.020510e-02
1.411121e+01 6.076403e-06 1.485964e-01 -2.982786e-02
1.461161e+01 5.650308e-06 1.561935e-01 -2.945800e-02
1.511201e+01 5.261003e-06 1.637639e-01 -2.909544e-02
1.561241e+01 4.904732e-06 1.713003e-01 -2.874010e-02
1.611281e+01 4.578181e-06 1.787962e-01 -2.839187e-02
1.661321e+01 4.278419e-06 1.862460e-01 -2.805065e-02
1.711361e+01 4.002845e-06 1.936446e-01 -2.771632e-02
1.761401e+01 3.749150e-06 2.009878e-01 -2.738874e-02
1.811441e+01 3.515278e-06 2.082716e-01 -2.706779e-02
1.861481e+01 3.299397e-06 2.154929e-01 -2.675333e-02
1.911522e+01 3.099867e-06 2.226487e-01 -2.644523e-02
1.961562e+01 2.915223e-06 2.297366e-01 -2.614334e-02
2.011602e+01 2.744148e-06 2.367547e-01 -2.584753e-02
2.061642e+01 2.585462e-06 2.437011e-01 -2.555765e-02
2.111682e+01 2.438102e-06 2.505745e-01 -2.527356e-02
2.161722e+01 2.301110e-06 2.573737e-01 -2.499513e-02
2.211762e+01 2.173621e-06 2.640978e-01 -2.472223e-02
2.261802e+01 2.054854e-06 2.707461e-01 -2.445471e-02
2.311842e+01 1.944102e-06 2.773181e-01 -2.419245e-02
2.361882e+01 1.840723e-06 2.838134e-01 -2.393531e-02
2.411922e+01 1.744135e-06 2.902321e-01 -2.368317e-02
2.461962e+01 1.653810e-06 2.965739e-01 -2.343590e-02
2.512002e+01 1.569264e-06 3.028390e-01 -2.319339e-02
2.562042e+01 1.490061e-06 3.090275e-01 -2.295550e-02
2.612082e+01 1.415798e-06 3.151399e-01 -2.272214e-02
2.662122e+01 1.346111e-06 3.211765e-01 -2.249317e-02
2.712162e+01 1.280665e-06 3.271378e-01 -2.226849e-02
2.762202e+01 1.219153e-06 3.330243e-01 -2.204800e-02
2.812242e+01 1.161295e-06 3.388365e-01 -2.183159e-02
2.862282e+01 1.106833e-06 3.445752e-01 -2.161915e-02
2.912322e+01 1.055530e-06 3.502411e-01 -2.141060e-02
2.962362e+01 1.007169e-06 3.558348e-01 -2.120582e-02
3.012402e+01 9.615494e-07 3.613571e-01 -2.100473e-02
3.062442e+01 9.184866e-07 3.668089e-01 -2.080723e-02
3.112482e+01 8.778102e-07 3.721910e-01 -2.061324e-02
3.162523e+01 8.393633e-07 3.775041e-01 -2.042267e-02
3.212563e+01 8.030007e-07 3.827493e-01 -2.023544e-02
3.262603e+01 7.685880e-07 3.879272e-01 -2.005146e-02
3.312643e+01 7.360011e-07 3.930389e-01 -1.987066e-02
3.362683e+01 7.051247e-07 3.980851e-01 -1.969296e-02
3.412723e+01 6.758522e-07 4.030669e-01 -1.951829e-02
3.462763e+01 6.480845e-07 4.079850e-01 -1.934656e-02
3.512803e+01 6.217296e-07 4.128405e-01 -1.917772e-02
3.562843e+01 5.967022e-07 4.176341e-01 -1.901169e-02
3.612883e+01 5.729226e-07 4.223669e-01 -1.884841e-02
3.662923e+01 5.503169e-07 4.270396e-01 -1.868782e-02
3.712963e+01 5.288163e-07 4.316533e-01 -1.852984e-02
3.763003e+01 5.083563e-07 4.362087e-01 -1.837442e-02
3.813043e+01 4.888772e-07 4.407067e-01 -1.822151e-02
3.863083e+01 4.703230e-07 4.451483e-01 -1.807104e-02
3.913123e+01 4.526414e-07 4.495343e-01 -1.792295e-02
3.963163e+01 4.357836e-07 4.538656e-01 -1.777720e-02
4.013203e+01 4.197040e-07 4.581430e-01 -1.763373e-02
4.063243e+01 4.043598e-07 4.623673e-01 -1.749248e-02
4.113283e+01 3.897110e-07 4.665394e-01 -1.735342e-02
4.163323e+01 3.757201e-07 4.706600e-01 -1.721649e-02
4.213363e+01 3.623519e-07 4.747301e-01 -1.708164e-02
4.263403e+01 3.495734e-07 4.787504e-01 -1.694883e-02
4.313443e+01 3.373537e-07 4.827216e-01 -1.681802e-02
4.363483e+01 3.256637e-07 4.866447e-01 -1.668916e-02
4.413524e+01 3.144760e-07 4.905202e-01 -1.656220e-02
4.463564e+01 3.037649e-07 4.943490e-01 -1.643712e-02
4.513604e+01 2.935064e-07 4.981319e-01 -1.631386e-02
4.563644e+01 2.836775e-07 5.018695e-01 -1.619239e-02
4.613684e+01 2.742569e-07 5.055625e-01 -1.607267e-02
4.663724e+01 2.652244e-07 5.092117e-01 -1.595467e-02
4.713764e+01 2.565609e-07 5.128178e-01 -1.583835e-02
4.763804e+01 2.482485e-07 5.163815e-01 -1.572368e-02
4.813844e+01 2.402703e-07 5.199034e-01 -1.561061e-02
4.863884e+01 2.326102e-07 5.233841e-01 -1.549912e-02
4.913924e+01 2.252531e-07 5.268244e-01 -1.538918e-02
4.963964e+01 2.181847e-07 5.302249e-01 -1.528076e-02
5.014004e+01 2.113917e-07 5.335862e-01 -1.517381e-02
5.064044e+01 2.048610e-07 5.369089e-01 -1.506833e-02
5.114084e+01 1.985808e-07 5.401936e-01 -1.496427e-02
5.164124e+01 1.925396e-07 5.434409e-01 -1.486160e-02
5.214164e+01 1.867264e-07 5.466515e-01 -1.476031e-02
5.264204e+01 1.811312e-07 5.498258e-01 -1.466036e-02
5.314244e+01 1.757440e-07 5.529645e-01 -1.456173e-02
5.364284e+01 1.705558e-07 5.560680e-01 -1.446439e-02
5.414324e+01 1.655577e-07 5.591371e-01 -1.436832e-02
5.464364e+01 1.607414e-07 5.621720e-01 -1.427349e-02
5.514404e+01 1.560991e-07 5.651735e-01 -1.417989e-02
5.564444e+01 1.516233e-07 5.681420e-01 -1.408748e-02
5.614484e+01 1.473068e-07 5.710781e-01 -1.399624e-02
5.664525e+01 1.431429e-07 5.739821e-01 -1.390615e-02
5.714565e+01 1.391252e-07 5.768547e-01 -1.381720e-02
5.764605e+01 1.352475e-07 5.796962e-01 -1.372936e-02
5.814645e+01 1.315041e-07 5.825072e-01 -1.364261e-02
5.864685e+01 1.278893e-07 5.852881e-01 -1.355692e-02
5.914725e+01 1.243979e-07 5.880394e-01 -1.347229e-02
5.964765e+01 1.210249e-07 5.907615e-01 -1.338869e-02
6.014805e+01 1.177656e-07 5.934549e-01 -1.330611e-02
6.064845e+01 1.146152e-07 5.961199e-01 -1.322451e-02
6.114885e+01 1.115696e-07 5.987571e-01 -1.314390e-02
6.164925e+01 1.086244e-07 6.013668e-01 -1.306425e-02
6.214965e+01 1.057759e-07 6.039494e-01 -1.298554e-02
6.265005e+01 1.030202e-07 6.065053e-01 -1.290776e-02
6.315045e+01 1.003536e-07 6.090349e-01 -1.283088e-02
6.365085e+01 9.777286e-08 6.115387e-01 -1.275491e-02
6.415125e+01 9.527454e-08 6.140169e-01 -1.267981e-02
6.465165e+01 9.285554e-08 6.164700e-01 -1.260558e-02
6.515205e+01 9.051286e-08 6.188982e-01 -1.253220e-02
6.565245e+01 8.824363e-08 6.213021e-01 -1.245966e-02
6.615285e+01 8.604509e-08 6.236819e-01 -1.238793e-02
6.665325e+01 8.391462e-08 6.260379e-01 -1.231702e-02
6.715365e+01 8.184971e-08 6.283706e-01 -1.224690e-02
6.765405e+01 7.984795e-08 6.306802e-01 -1.217756e-02
6.815445e+01 7.790703e-08 6.329671e-01 -1.210899e-02
6.865485e+01 7.602475e-08 6.352315e-01 -1.204118e-02
6.915526e+01 7.419900e-08 6.374739e-01 -1.197411e-02
6.965566e+01 7.242774e-08 6.396945e-01 -1.190777e-02
7.015606e+01 7.070904e-08 6.418936e-01 -1.184216e-02
7.065646e+01 6.904104e-08 6.440715e-01 -1.177725e-02
7.115686e+01 6.742195e-08 6.462285e-01 -1.171304e-02
7.165726e+01 6.585007e-08 6.483649e-01 -1.164951e-02
7.215766e+01 6.432374e-08 6.504810e-01 -1.158666e-02
7.265806e+01 6.284139e-08 6.525771e-01 -1.152448e-02
7.315846e+01 6.140151e-08 6.546534e-01 -1.146294e-02
7.365886e+01 6.000265e-08 6.567102e-01 -1.140206e-02
7.415926e+01 5.864341e-08 6.587478e-01 -1.134180e-02
7.465966e+01 5.732246e-08 6.607665e-01 -1.128218e-02
7.516006e+01 5.603850e-08 6.627664e-01 -1.122316e-02
7.566046e+01 5.479030e-08 6.647478e-01 -1.116475e-02
7.616086e+01 5.357668e-08 6.667111e-01 -1.110694e-02
7.666126e+01 5.239648e-08 6.686563e-01 -1.104972e-02
7.716166e+01 5.124861e-08 6.705839e-01 -1.099307e-02
7.766206e+01 5.013201e-08 6.724939e-01 -1.093699e-02
7.816246e+01 4.904566e-08 6.743867e-01 -1.088148e-02
7.866286e+01 4.798859e-08 6.762624e-01 -1.082652e-02
7.916326e+01 4.695985e-08 6.781213e-01 -1.077210e-02
7.966366e+01 4.595855e-08 6.799636e-01 -1.071822e-02
8.016406e+01 4.498379e-08 6.817895e-01 -1.066487e-02
8.066446e+01 4.403475e-08 6.835993e-01 -1.061204e-02
8.116486e+01 4.311061e-08 6.853931e-01 -1.055972e-02
8.166527e+01 4.221059e-08 6.871711e-01 -1.050791e-02
8.216567e+01 4.133395e-08 6.889336e-01 -1.045660e-02
8.266607e+01 4.047995e-08 6.906807e-01 -1.040578e-02
8.316647e+01 3.964790e-08 6.924127e-01 -1.035544e-02
8.366687e+01 3.883713e-08 6.941297e-01 -1.030559e-02
8.416727e+01 3.804697e-08 6.958319e-01 -1.025620e-02
