! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_0480.txt
! R    D    M    P
1000
1.000000e-01 5.080381e-05 4.495216e-17 -3.202602e-02
6.004004e-01 4.531166e-05 5.295312e-05 -3.201271e-02
1.100801e+00 4.054282e-05 2.587735e-04 -3.193374e-02
1.601201e+00 3.638581e-05 7.065443e-04 -3.181642e-02
2.101602e+00 3.274872e-05 1.454621e-03 -3.166774e-02
2.602002e+00 2.955536e-05 2.538535e-03 -3.149301e-02
3.102402e+00 2.674227e-05 3.976945e-03 -3.129665e-02
3.602803e+00 2.425634e-05 5.776140e-03 -3.108238e-02
4.103203e+00 2.205291e-05 7.933441e-03 -3.085335e-02
4.603604e+00 2.009429e-05 1.043977e-02 -3.061226e-02
5.104004e+00 1.834854e-05 1.328159e-02 -3.036141e-02
5.604404e+00 1.678845e-05 1.644240e-02 -3.010278e-02
6.104805e+00 1.539083e-05 1.990377e-02 -2.983805e-02
6.605205e+00 1.413576e-05 2.364627e-02 -2.956867e-02
7.105606e+00 1.300614e-05 2.764998e-02 -2.929589e-02
7.606006e+00 1.198721e-05 3.189500e-02 -2.902076e-02
8.106406e+00 1.106620e-05 3.636177e-02 -2.874421e-02
8.606807e+00 1.023202e-05 4.103128e-02 -2.846702e-02
9.107207e+00 9.475025e-06 4.588524e-02 -2.818987e-02
9.607608e+00 8.786799e-06 5.090621e-02 -2.791332e-02
1.010801e+01 8.159974e-06 5.607762e-02 -2.763787e-02
1.060841e+01 7.588089e-06 6.138384e-02 -2.736395e-02
1.110881e+01 7.065464e-06 6.681016e-02 -2.709190e-02
1.160921e+01 6.587090e-06 7.234280e-02 -2.682203e-02
1.210961e+01 6.148544e-06 7.796889e-02 -2.655459e-02
1.261001e+01 5.745911e-06 8.367642e-02 -2.628980e-02
1.311041e+01 5.375718e-06 8.945423e-02 -2.602784e-02
1.361081e+01 5.034876e-06 9.529198e-02 -2.576884e-02
1.411121e+01 4.720636e-06 1.011801e-01 -2.551292e-02
1.461161e+01 4.430544e-06 1.071096e-01 -2.526020e-02
1.511201e+01 4.162405e-06 1.130724e-01 -2.501073e-02
1.561241e+01 3.914255e-06 1.190609e-01 -2.476457e-02
1.611281e+01 3.684333e-06 1.250681e-01 -2.452177e-02
1.661321e+01 3.471053e-06 1.310876e-01 -2.428235e-02
1.711361e+01 3.272991e-06 1.371136e-01 -2.404633e-02
1.761401e+01 3.088861e-06 1.431406e-01 -2.381371e-02
1.811441e+01 2.917504e-06 1.491636e-01 -2.358449e-02
1.861481e+01 2.757870e-06 1.551781e-01 -2.335867e-02
1.911522e+01 2.609010e-06 1.611801e-01 -2.313621e-02
1.961562e+01 2.470063e-06 1.671656e-01 -2.291711e-02
2.011602e+01 2.340246e-06 1.731312e-01 -2.270133e-02
2.061642e+01 2.218850e-06 1.790738e-01 -2.248884e-02
2.111682e+01 2.105226e-06 1.849906e-01 -2.227960e-02
2.161722e+01 1.998785e-06 1.908789e-01 -2.207358e-02
2.211762e+01 1.898989e-06 1.967364e-01 -2.187073e-02
2.261802e+01 1.805345e-06 2.025609e-01 -2.167102e-02
2.311842e+01 1.717405e-06 2.083507e-01 -2.147439e-02
2.361882e+01 1.634757e-06 2.141039e-01 -2.128080e-02
2.411922e+01 1.557022e-06 2.198190e-01 -2.109021e-02
2.461962e+01 1.483854e-06 2.254947e-01 -2.090257e-02
2.512002e+01 1.414935e-06 2.311297e-01 -2.071783e-02
2.562042e+01 1.349972e-06 2.367230e-01 -2.053594e-02
2.612082e+01 1.288696e-06 2.422736e-01 -2.035685e-02
2.662122e+01 1.230859e-06 2.477807e-01 -2.018052e-02
2.712162e+01 1.176230e-06 2.532437e-01 -2.000689e-02
2.762202e+01 1.124600e-06 2.586618e-01 -1.983592e-02
2.812242e+01 1.075772e-06 2.640345e-01 -1.966755e-02
2.862282e+01 1.029566e-06 2.693616e-01 -1.950175e-02
2.912322e+01 9.858154e-07 2.746425e-01 -1.933846e-02
2.962362e+01 9.443644e-07 2.798770e-01 -1.917764e-02
3.012402e+01 9.050698e-07 2.850649e-01 -1.901924e-02
3.062442e+01 8.677982e-07 2.902061e-01 -1.886321e-02
3.112482e+01 8.324260e-07 2.953005e-01 -1.870952e-02
3.162523e+01 7.988382e-07 3.003479e-01 -1.855811e-02
3.212563e+01 7.669278e-07 3.053486e-01 -1.840894e-02
3.262603e+01 7.365952e-07 3.103024e-01 -1.826197e-02
3.312643e+01 7.077478e-07 3.152095e-01 -1.811716e-02
3.362683e+01 6.802990e-07 3.200700e-01 -1.797447e-02
3.412723e+01 6.541684e-07 3.248841e-01 -1.783385e-02
3.462763e+01 6.292806e-07 3.296519e-01 -1.769526e-02
3.512803e+01 6.055655e-07 3.343738e-01 -1.755868e-02
3.562843e+01 5.829572e-07 3.390499e-01 -1.742405e-02
3.612883e+01 5.613943e-07 3.436804e-01 -1.729134e-02
3.662923e+01 5.408195e-07 3.482658e-01 -1.716051e-02
3.712963e+01 5.211788e-07 3.528063e-01 -1.703153e-02
3.763003e+01 5.024218e-07 3.573022e-01 -1.690437e-02
3.813043e+01 4.845011e-07 3.617538e-01 -1.677898e-02
3.863083e+01 4.673726e-07 3.661616e-01 -1.665534e-02
3.913123e+01 4.509944e-07 3.705258e-01 -1.653340e-02
3.963163e+01 4.353275e-07 3.748469e-01 -1.641314e-02
4.013203e+01 4.203351e-07 3.791252e-01 -1.629453e-02
4.063243e+01 4.059827e-07 3.833611e-01 -1.617754e-02
4.113283e+01 3.922378e-07 3.875551e-01 -1.606213e-02
4.163323e+01 3.790697e-07 3.917074e-01 -1.594827e-02
4.213363e+01 3.664497e-07 3.958186e-01 -1.583594e-02
4.263403e+01 3.543506e-07 3.998891e-01 -1.572511e-02
4.313443e+01 3.427468e-07 4.039192e-01 -1.561575e-02
4.363483e+01 3.316142e-07 4.079094e-01 -1.550783e-02
4.413524e+01 3.209300e-07 4.118601e-01 -1.540132e-02
4.463564e+01 3.106726e-07 4.157717e-01 -1.529621e-02
4.513604e+01 3.008219e-07 4.196447e-01 -1.519245e-02
4.563644e+01 2.913586e-07 4.234794e-01 -1.509004e-02
4.613684e+01 2.822645e-07 4.272764e-01 -1.498894e-02
4.663724e+01 2.735225e-07 4.310359e-01 -1.488914e-02
4.713764e+01 2.651164e-07 4.347585e-01 -1.479060e-02
4.763804e+01 2.570308e-07 4.384446e-01 -1.469330e-02
4.813844e+01 2.492511e-07 4.420946e-01 -1.459723e-02
4.863884e+01 2.417636e-07 4.457089e-01 -1.450236e-02
4.913924e+01 2.345552e-07 4.492879e-01 -1.440866e-02
4.963964e+01 2.276134e-07 4.528320e-01 -1.431613e-02
5.014004e+01 2.209266e-07 4.563417e-01 -1.422473e-02
5.064044e+01 2.144836e-07 4.598174e-01 -1.413446e-02
5.114084e+01 2.082738e-07 4.632594e-01 -1.404528e-02
5.164124e+01 2.022871e-07 4.666682e-01 -1.395717e-02
5.214164e+01 1.965140e-07 4.700441e-01 -1.387013e-02
5.264204e+01 1.909455e-07 4.733876e-01 -1.378414e-02
5.314244e+01 1.855727e-07 4.766991e-01 -1.369916e-02
5.364284e+01 1.803877e-07 4.799788e-01 -1.361520e-02
5.414324e+01 1.753825e-07 4.832274e-01 -1.353222e-02
5.464364e+01 1.705497e-07 4.864450e-01 -1.345021e-02
5.514404e+01 1.658823e-07 4.896321e-01 -1.336917e-02
5.564444e+01 1.613734e-07 4.927890e-01 -1.328906e-02
5.614484e+01 1.570167e-07 4.959162e-01 -1.320988e-02
5.664525e+01 1.528061e-07 4.990140e-01 -1.313160e-02
5.714565e+01 1.487357e-07 5.020827e-01 -1.305423e-02
5.764605e+01 1.447999e-07 5.051227e-01 -1.297773e-02
5.814645e+01 1.409935e-07 5.081344e-01 -1.290209e-02
5.864685e+01 1.373113e-07 5.111181e-01 -1.282731e-02
5.914725e+01 1.337486e-07 5.140741e-01 -1.275336e-02
5.964765e+01 1.303007e-07 5.170029e-01 -1.268024e-02
6.014805e+01 1.269632e-07 5.199046e-01 -1.260792e-02
6.064845e+01 1.237318e-07 5.227797e-01 -1.253641e-02
6.114885e+01 1.206027e-07 5.256285e-01 -1.246568e-02
6.164925e+01 1.175718e-07 5.284513e-01 -1.239572e-02
6.214965e+01 1.146355e-07 5.312484e-01 -1.232651e-02
6.265005e+01 1.117904e-07 5.340201e-01 -1.225806e-02
6.315045e+01 1.090330e-07 5.367668e-01 -1.219035e-02
6.365085e+01 1.063601e-07 5.394888e-01 -1.212335e-02
6.415125e+01 1.037686e-07 5.421863e-01 -1.205707e-02
6.465165e+01 1.012555e-07 5.448597e-01 -1.199150e-02
6.515205e+01 9.881808e-08 5.475092e-01 -1.192661e-02
6.565245e+01 9.645356e-08 5.501351e-01 -1.186240e-02
6.615285e+01 9.415935e-08 5.527378e-01 -1.179887e-02
6.665325e+01 9.193295e-08 5.553175e-01 -1.173599e-02
6.715365e+01 8.977198e-08 5.578745e-01 -1.167377e-02
6.765405e+01 8.767413e-08 5.604091e-01 -1.161218e-02
6.815445e+01 8.563720e-08 5.629215e-01 -1.155122e-02
6.865485e+01 8.365910e-08 5.654119e-01 -1.149089e-02
6.915526e+01 8.173778e-08 5.678808e-01 -1.143117e-02
6.965566e+01 7.987131e-08 5.703283e-01 -1.137205e-02
7.015606e+01 7.805781e-08 5.727547e-01 -1.131352e-02
7.065646e+01 7.629549e-08 5.751602e-01 -1.125558e-02
7.115686e+01 7.458264e-08 5.775451e-01 -1.119822e-02
7.165726e+01 7.291758e-08 5.799096e-01 -1.114142e-02
7.215766e+01 7.129874e-08 5.822540e-01 -1.108518e-02
7.265806e+01 6.972457e-08 5.845785e-01 -1.102950e-02
7.315846e+01 6.819362e-08 5.868833e-01 -1.097436e-02
7.365886e+01 6.670445e-08 5.891688e-01 -1.091976e-02
7.415926e+01 6.525572e-08 5.914350e-01 -1.086568e-02
7.465966e+01 6.384610e-08 5.936823e-01 -1.081212e-02
7.516006e+01 6.247435e-08 5.959109e-01 -1.075908e-02
7.566046e+01 6.113924e-08 5.981209e-01 -1.070655e-02
7.616086e+01 5.983960e-08 6.003126e-01 -1.065451e-02
7.666126e+01 5.857432e-08 6.024863e-01 -1.060297e-02
7.716166e+01 5.734231e-08 6.046420e-01 -1.055191e-02
7.766206e+01 5.614252e-08 6.067801e-01 -1.050133e-02
7.816246e+01 5.497395e-08 6.089007e-01 -1.045122e-02
7.866286e+01 5.383562e-08 6.110041e-01 -1.040158e-02
7.916326e+01 5.272661e-08 6.130904e-01 -1.035240e-02
7.966366e+01 5.164601e-08 6.151598e-01 -1.030367e-02
8.016406e+01 5.059296e-08 6.172125e-01 -1.025538e-02
8.066446e+01 4.956661e-08 6.192488e-01 -1.020754e-02
8.116486e+01 4.856615e-08 6.212688e-01 -1.016014e-02
8.166527e+01 4.759081e-08 6.232726e-01 -1.011316e-02
8.216567e+01 4.663983e-08 6.252605e-01 -1.006660e-02
8.266607e+01 4.571249e-08 6.272327e-01 -1.002047e-02
8.316647e+01 4.480809e-08 6.291893e-01 -9.974742e-03
8.366687e+01 4.392594e-08 6.311305e-01 -9.929424e-03
8.416727e+01 4.306540e-08 6.330565e-01 -9.884508e-03
8.466767e+01 4.222582e-08 6.349674e-01 -9.839987e-03
8.516807e+01 4.140661e-08 6.368635e-01 -9.795858e-03
8.566847e+01 4.060717e-08 6.387448e-01 -9.752115e-03
8.616887e+01 3.982693e-08 6.406116e-01 -9.708753e-03
8.666927e+01 3.906534e-08 6.424639e-01 -9.665767e-03
8.716967e+01 3.832187e-08 6.443021e-01 -9.623152e-03
8.767007e+01 3.759601e-08 6.461262e-01 -9.580904e-03
8.817047e+01 3.688725e-08 6.479363e-01 -9.539018e-03
8.867087e+01 3.619511e-08 6.497327e-01 -9.497489e-03
8.917127e+01 3.551913e-08 6.515155e-01 -9.456313e-03
8.967167e+01 3.485886e-08 6.532847e-01 -9.415486e-03
9.017207e+01 3.421387e-08 6.550407e-01 -9.375002e-03
9.067247e+01 3.358372e-08 6.567835e-01 -9.334858e-03
9.117287e+01 3.296801e-08 6.585132e-01 -9.295050e-03
9.167327e+01 3.236635e-08 6.602301e-01 -9.255573e-03
9.217367e+01 3.177835e-08 6.619342e-01 -9.216424e-03
9.267407e+01 3.120365e-08 6.636256e-01 -9.177598e-03
9.317447e+01 3.064188e-08 6.653046e-01 -9.139091e-03
9.367487e+01 3.009270e-08 6.669713e-01 -9.100900e-03
9.417528e+01 2.955576e-08 6.686257e-01 -9.063020e-03
9.467568e+01 2.903075e-08 6.702680e-01 -9.025449e-03
9.517608e+01 2.851734e-08 6.718983e-01 -8.988181e-03
9.567648e+01 2.801523e-08 6.735168e-01 -8.951214e-03
9.617688e+01 2.752413e-08 6.751236e-01 -8.914544e-03
9.667728e+01 2.704374e-08 6.767188e-01 -8.878168e-03
9.717768e+01 2.657379e-08 6.783026e-01 -8.842082e-03
9.767808e+01 2.611400e-08 6.798749e-01 -8.806282e-03
9.817848e+01 2.566411e-08 6.814361e-01 -8.770765e-03
9.867888e+01 2.522387e-08 6.829861e-01 -8.735528e-03
9.917928e+01 2.479303e-08 6.845251e-01 -8.700568e-03
9.967968e+01 2.437135e-08 6.860533e-01 -8.665881e-03
1.001801e+02 2.395859e-08 6.875706e-01 -8.631464e-03
1.006805e+02 2.355454e-08 6.890773e-01 -8.597314e-03
1.011809e+02 2.315897e-08 6.905735e-01 -8.563429e-03
1.016813e+02 2.277167e-08 6.920591e-01 -8.529804e-03
1.021817e+02 2.239243e-08 6.935345e-01 -8.496438e-03
1.026821e+02 2.202106e-08 6.949996e-01 -8.463326e-03
1.031825e+02 2.165735e-08 6.964546e-01 -8.430467e-03
1.036829e+02 2.130112e-08 6.978995e-01 -8.397857e-03
1.041833e+02 2.095218e-08 6.993345e-01 -8.365494e-03
1.046837e+02 2.061037e-08 7.007596e-01 -8.333374e-03
1.051841e+02 2.027549e-08 7.021751e-01 -8.301496e-03
1.056845e+02 1.994739e-08 7.035809e-01 -8.269856e-03
1.061849e+02 1.962589e-08 7.049771e-01 -8.238451e-03
1.066853e+02 1.931085e-08 7.063639e-01 -8.207280e-03
1.071857e+02 1.900211e-08 7.077413e-01 -8.176339e-03
1.076861e+02 1.869951e-08 7.091095e-01 -8.145627e-03
1.081865e+02 1.840291e-08 7.104685e-01 -8.115140e-03
1.086869e+02 1.811217e-08 7.118184e-01 -8.084876e-03
1.091873e+02 1.782714e-08 7.131594e-01 -8.054832e-03
1.096877e+02 1.754770e-08 7.144914e-01 -8.025007e-03
1.101881e+02 1.727372e-08 7.158146e-01 -7.995398e-03
1.106885e+02 1.700506e-08 7.171291e-01 -7.966003e-03
1.111889e+02 1.674161e-08 7.184349e-01 -7.936819e-03
1.116893e+02 1.648324e-08 7.197321e-01 -7.907844e-03
1.121897e+02 1.622983e-08 7.210209e-01 -7.879075e-03
1.126901e+02 1.598128e-08 7.223012e-01 -7.850512e-03
1.131905e+02 1.573746e-08 7.235733e-01 -7.822150e-03
1.136909e+02 1.549828e-08 7.248371e-01 -7.793990e-03
1.141913e+02 1.526362e-08 7.260927e-01 -7.766027e-03
