! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_4807.txt
! R    D    M    P
1000
1.000000e-01 8.556685e-05 1.839169e-17 -3.759025e-02
6.004004e-01 7.455282e-05 8.718775e-05 -3.756782e-02
1.100801e+00 6.526295e-05 4.203313e-04 -3.743784e-02
1.601201e+00 5.738202e-05 1.131534e-03 -3.724792e-02
2.101602e+00 5.066029e-05 2.297594e-03 -3.701087e-02
2.602002e+00 4.489832e-05 3.956844e-03 -3.673624e-02
3.102402e+00 3.993572e-05 6.121115e-03 -3.643172e-02
3.602803e+00 3.564258e-05 8.784252e-03 -3.610358e-02
4.103203e+00 3.191308e-05 1.192819e-02 -3.575700e-02
4.603604e+00 2.866043e-05 1.552726e-02 -3.539626e-02
5.104004e+00 2.581309e-05 1.955127e-02 -3.502491e-02
5.604404e+00 2.331177e-05 2.396768e-02 -3.464590e-02
6.104805e+00 2.110709e-05 2.874307e-02 -3.426169e-02
6.605205e+00 1.915770e-05 3.384426e-02 -3.387430e-02
7.105606e+00 1.742885e-05 3.923893e-02 -3.348544e-02
7.606006e+00 1.589119e-05 4.489613e-02 -3.309652e-02
8.106406e+00 1.451984e-05 5.078655e-02 -3.270869e-02
8.606807e+00 1.329363e-05 5.688269e-02 -3.232293e-02
9.107207e+00 1.219447e-05 6.315889e-02 -3.194002e-02
9.607608e+00 1.120685e-05 6.959138e-02 -3.156063e-02
1.010801e+01 1.031744e-05 7.615820e-02 -3.118529e-02
1.060841e+01 9.514718e-06 8.283919e-02 -3.081442e-02
1.110881e+01 8.788723e-06 8.961584e-02 -3.044838e-02
1.160921e+01 8.130805e-06 9.647124e-02 -3.008742e-02
1.210961e+01 7.533430e-06 1.033900e-01 -2.973177e-02
1.261001e+01 6.990024e-06 1.103580e-01 -2.938158e-02
1.311041e+01 6.494829e-06 1.173626e-01 -2.903697e-02
1.361081e+01 6.042795e-06 1.243922e-01 -2.869802e-02
1.411121e+01 5.629477e-06 1.314364e-01 -2.836476e-02
1.461161e+01 5.250958e-06 1.384856e-01 -2.803722e-02
1.511201e+01 4.903775e-06 1.455315e-01 -2.771540e-02
1.561241e+01 4.584861e-06 1.525662e-01 -2.739927e-02
1.611281e+01 4.291495e-06 1.595830e-01 -2.708879e-02
1.661321e+01 4.021255e-06 1.665756e-01 -2.678393e-02
1.711361e+01 3.771987e-06 1.735385e-01 -2.648461e-02
1.761401e+01 3.541763e-06 1.804667e-01 -2.619076e-02
1.811441e+01 3.328863e-06 1.873560e-01 -2.590231e-02
1.861481e+01 3.131743e-06 1.942022e-01 -2.561918e-02
1.911522e+01 2.949018e-06 2.010021e-01 -2.534127e-02
1.961562e+01 2.779444e-06 2.077525e-01 -2.506850e-02
2.011602e+01 2.621900e-06 2.144507e-01 -2.480078e-02
2.061642e+01 2.475375e-06 2.210945e-01 -2.453800e-02
2.111682e+01 2.338956e-06 2.276818e-01 -2.428006e-02
2.161722e+01 2.211817e-06 2.342108e-01 -2.402689e-02
2.211762e+01 2.093209e-06 2.406800e-01 -2.377836e-02
2.261802e+01 1.982455e-06 2.470881e-01 -2.353439e-02
2.311842e+01 1.878938e-06 2.534342e-01 -2.329488e-02
2.361882e+01 1.782097e-06 2.597172e-01 -2.305973e-02
2.411922e+01 1.691422e-06 2.659366e-01 -2.282885e-02
2.461962e+01 1.606446e-06 2.720917e-01 -2.260213e-02
