! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_0419.txt
! R    D    M    P
1000
1.000000e-01 6.281243e-05 1.263480e-17 -3.419031e-02
6.004004e-01 5.552395e-05 6.490520e-05 -3.417385e-02
1.100801e+00 4.926497e-05 3.155307e-04 -3.407706e-02
1.601201e+00 4.386546e-05 8.568258e-04 -3.393419e-02
2.101602e+00 3.918734e-05 1.754608e-03 -3.375420e-02
2.602002e+00 3.511777e-05 3.046338e-03 -3.354384e-02
3.102402e+00 3.156400e-05 4.749069e-03 -3.330866e-02
3.602803e+00 2.844942e-05 6.865303e-03 -3.305329e-02
4.103203e+00 2.571035e-05 9.387335e-03 -3.278160e-02
4.603604e+00 2.329367e-05 1.230046e-02 -3.249687e-02
5.104004e+00 2.115483e-05 1.558532e-02 -3.220185e-02
5.604404e+00 1.925632e-05 1.921969e-02 -3.189890e-02
6.104805e+00 1.756639e-05 2.317971e-02 -3.158999e-02
6.605205e+00 1.605811e-05 2.744082e-02 -3.127679e-02
7.105606e+00 1.470850e-05 3.197847e-02 -3.096074e-02
7.606006e+00 1.349794e-05 3.676852e-02 -3.064303e-02
8.106406e+00 1.240955e-05 4.178763e-02 -3.032470e-02
8.606807e+00 1.142882e-05 4.701343e-02 -3.000661e-02
9.107207e+00 1.054320e-05 5.242469e-02 -2.968948e-02
9.607608e+00 9.741821e-06 5.800138e-02 -2.937394e-02
1.010801e+01 9.015242e-06 6.372470e-02 -2.906051e-02
1.060841e+01 8.355228e-06 6.957711e-02 -2.874962e-02
1.110881e+01 7.754586e-06 7.554224e-02 -2.844162e-02
1.160921e+01 7.207015e-06 8.160495e-02 -2.813684e-02
1.210961e+01 6.706981e-06 8.775120e-02 -2.783550e-02
1.261001e+01 6.249611e-06 9.396803e-02 -2.753780e-02
1.311041e+01 5.830608e-06 1.002435e-01 -2.724392e-02
1.361081e+01 5.446169e-06 1.065666e-01 -2.695398e-02
1.411121e+01 5.092926e-06 1.129274e-01 -2.666807e-02
1.461161e+01 4.767888e-06 1.193164e-01 -2.638626e-02
1.511201e+01 4.468393e-06 1.257254e-01 -2.610862e-02
1.561241e+01 4.192068e-06 1.321465e-01 -2.583516e-02
1.611281e+01 3.936792e-06 1.385727e-01 -2.556590e-02
1.661321e+01 3.700669e-06 1.449976e-01 -2.530085e-02
1.711361e+01 3.482000e-06 1.514152e-01 -2.504000e-02
1.761401e+01 3.279258e-06 1.578204e-01 -2.478332e-02
1.811441e+01 3.091069e-06 1.642082e-01 -2.453079e-02
1.861481e+01 2.916197e-06 1.705743e-01 -2.428238e-02
1.911522e+01 2.753527e-06 1.769148e-01 -2.403803e-02
1.961562e+01 2.602050e-06 1.832260e-01 -2.379770e-02
2.011602e+01 2.460854e-06 1.895047e-01 -2.356135e-02
2.061642e+01 2.329112e-06 1.957481e-01 -2.332892e-02
2.111682e+01 2.206075e-06 2.019536e-01 -2.310035e-02
2.161722e+01 2.091060e-06 2.081189e-01 -2.287557e-02
2.211762e+01 1.983449e-06 2.142419e-01 -2.265454e-02
2.261802e+01 1.882675e-06 2.203207e-01 -2.243719e-02
2.311842e+01 1.788225e-06 2.263538e-01 -2.222344e-02
2.361882e+01 1.699627e-06 2.323398e-01 -2.201325e-02
2.411922e+01 1.616451e-06 2.382774e-01 -2.180654e-02
2.461962e+01 1.538305e-06 2.441656e-01 -2.160326e-02
2.512002e+01 1.464826e-06 2.500033e-01 -2.140332e-02
