! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_0100.txt
! R    D    M    P
1000
1.000000e-01 8.594688e-05 1.137059e-17 -3.764091e-02
6.004004e-01 7.486728e-05 8.755611e-05 -3.761838e-02
1.100801e+00 6.552470e-05 4.220533e-04 -3.748785e-02
1.601201e+00 5.760110e-05 1.136020e-03 -3.729715e-02
2.101602e+00 5.084460e-05 2.306405e-03 -3.705918e-02
2.602002e+00 4.505412e-05 3.971531e-03 -3.678351e-02
3.102402e+00 4.006801e-05 6.143121e-03 -3.647787e-02
3.602803e+00 3.575539e-05 8.814866e-03 -3.614857e-02
4.103203e+00 3.200964e-05 1.196852e-02 -3.580079e-02
4.603604e+00 2.874339e-05 1.557822e-02 -3.543885e-02
5.104004e+00 2.588462e-05 1.961363e-02 -3.506630e-02
5.604404e+00 2.337365e-05 2.404200e-02 -3.468610e-02
6.104805e+00 2.116078e-05 2.882980e-02 -3.430071e-02
6.605205e+00 1.920442e-05 3.394369e-02 -3.391217e-02
7.105606e+00 1.746961e-05 3.935124e-02 -3.352218e-02
7.606006e+00 1.592685e-05 4.502140e-02 -3.313215e-02
8.106406e+00 1.455112e-05 5.092477e-02 -3.274326e-02
8.606807e+00 1.332113e-05 5.703377e-02 -3.235646e-02
9.107207e+00 1.221869e-05 6.332270e-02 -3.197255e-02
9.607608e+00 1.122824e-05 6.976770e-02 -3.159219e-02
1.010801e+01 1.033635e-05 7.634681e-02 -3.121590e-02
1.060841e+01 9.531479e-06 8.303980e-02 -3.084412e-02
1.110881e+01 8.803602e-06 8.982816e-02 -3.047720e-02
1.160921e+01 8.144035e-06 9.669494e-02 -3.011540e-02
1.210961e+01 7.545212e-06 1.036247e-01 -2.975894e-02
1.261001e+01 7.000532e-06 1.106034e-01 -2.940796e-02
1.311041e+01 6.504215e-06 1.176184e-01 -2.906259e-02
1.361081e+01 6.051188e-06 1.246579e-01 -2.872290e-02
1.411121e+01 5.636993e-06 1.317117e-01 -2.838894e-02
1.461161e+01 5.257695e-06 1.387702e-01 -2.806072e-02
1.511201e+01 4.909821e-06 1.458249e-01 -2.773824e-02
1.561241e+01 4.590292e-06 1.528681e-01 -2.742148e-02
1.611281e+01 4.296378e-06 1.598930e-01 -2.711040e-02
1.661321e+01 4.025650e-06 1.668934e-01 -2.680495e-02
1.711361e+01 3.775945e-06 1.738638e-01 -2.650506e-02
1.761401e+01 3.545331e-06 1.807992e-01 -2.621067e-02
1.811441e+01 3.332080e-06 1.876952e-01 -2.592169e-02
1.861481e+01 3.134646e-06 1.945479e-01 -2.563805e-02
1.911522e+01 2.951639e-06 2.013540e-01 -2.535965e-02
1.961562e+01 2.781812e-06 2.081102e-01 -2.508641e-02
2.011602e+01 2.624040e-06 2.148141e-01 -2.481823e-02
2.061642e+01 2.477309e-06 2.214632e-01 -2.455500e-02
2.111682e+01 2.340704e-06 2.280555e-01 -2.429665e-02
2.161722e+01 2.213397e-06 2.345892e-01 -2.404305e-02
2.211762e+01 2.094639e-06 2.410630e-01 -2.379413e-02
2.261802e+01 1.983748e-06 2.474754e-01 -2.354978e-02
2.311842e+01 1.880107e-06 2.538255e-01 -2.330989e-02
2.361882e+01 1.783153e-06 2.601124e-01 -2.307438e-02
2.411922e+01 1.692376e-06 2.663353e-01 -2.284315e-02
2.461962e+01 1.607308e-06 2.724938e-01 -2.261610e-02
