! None/basis/modelname_lmc_mean_2903.txt
! R    D    M    P
600
4.766344e+01 2.213115e-07 6.584267e-01 -1.767237e-02
4.816411e+01 2.136639e-07 6.615675e-01 -1.752843e-02
4.866477e+01 2.063443e-07 6.646640e-01 -1.738678e-02
4.916544e+01 1.993359e-07 6.677171e-01 -1.724738e-02
4.966611e+01 1.926231e-07 6.707276e-01 -1.711016e-02
5.016678e+01 1.861909e-07 6.736963e-01 -1.697508e-02
5.066745e+01 1.800254e-07 6.766243e-01 -1.684209e-02
5.116811e+01 1.741134e-07 6.795122e-01 -1.671115e-02
5.166878e+01 1.684425e-07 6.823608e-01 -1.658219e-02
5.216945e+01 1.630009e-07 6.851710e-01 -1.645519e-02
5.267012e+01 1.577776e-07 6.879435e-01 -1.633009e-02
5.317078e+01 1.527622e-07 6.906790e-01 -1.620685e-02
5.367145e+01 1.479447e-07 6.933782e-01 -1.608544e-02
5.417212e+01 1.433160e-07 6.960419e-01 -1.596581e-02
5.467279e+01 1.388671e-07 6.986708e-01 -1.584793e-02
5.517346e+01 1.345897e-07 7.012654e-01 -1.573175e-02
5.567412e+01 1.304760e-07 7.038265e-01 -1.561723e-02
5.617479e+01 1.265185e-07 7.063546e-01 -1.550436e-02
5.667546e+01 1.227101e-07 7.088505e-01 -1.539308e-02
5.717613e+01 1.190441e-07 7.113147e-01 -1.528337e-02
5.767679e+01 1.155141e-07 7.137478e-01 -1.517519e-02
5.817746e+01 1.121142e-07 7.161503e-01 -1.506851e-02
5.867813e+01 1.088386e-07 7.185229e-01 -1.496330e-02
5.917880e+01 1.056820e-07 7.208661e-01 -1.485954e-02
5.967947e+01 1.026390e-07 7.231803e-01 -1.475718e-02
6.018013e+01 9.970499e-08 7.254663e-01 -1.465621e-02
6.068080e+01 9.687515e-08 7.277243e-01 -1.455659e-02
6.118147e+01 9.414512e-08 7.299550e-01 -1.445830e-02
6.168214e+01 9.151069e-08 7.321589e-01 -1.436131e-02
6.218280e+01 8.896787e-08 7.343363e-01 -1.426559e-02
6.268347e+01 8.651286e-08 7.364879e-01 -1.417113e-02
6.318414e+01 8.414205e-08 7.386139e-01 -1.407789e-02
6.368481e+01 8.185198e-08 7.407150e-01 -1.398586e-02
6.418548e+01 7.963938e-08 7.427914e-01 -1.389501e-02
6.468614e+01 7.750112e-08 7.448437e-01 -1.380531e-02
6.518681e+01 7.543422e-08 7.468722e-01 -1.371675e-02
6.568748e+01 7.343583e-08 7.488773e-01 -1.362931e-02
6.618815e+01 7.150326e-08 7.508595e-01 -1.354295e-02
6.668881e+01 6.963390e-08 7.528191e-01 -1.345767e-02
6.718948e+01 6.782530e-08 7.547566e-01 -1.337345e-02
