! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_4797.txt
! R    D    M    P
1000
1.000000e-01 1.004429e-04 3.025111e-17 -3.947625e-02
6.004004e-01 8.679795e-05 1.015340e-04 -3.944993e-02
1.100801e+00 7.540619e-05 4.872009e-04 -3.929857e-02
1.601201e+00 6.583339e-05 1.305175e-03 -3.907869e-02
2.101602e+00 5.774031e-05 2.637680e-03 -3.880570e-02
2.602002e+00 5.085955e-05 4.522144e-03 -3.849095e-02
3.102402e+00 4.497866e-05 6.965919e-03 -3.814352e-02
3.602803e+00 3.992752e-05 9.956538e-03 -3.777072e-02
4.103203e+00 3.556898e-05 1.346887e-02 -3.737854e-02
4.603604e+00 3.179172e-05 1.747012e-02 -3.697186e-02
5.104004e+00 2.850479e-05 2.192325e-02 -3.655469e-02
5.604404e+00 2.563350e-05 2.678940e-02 -3.613034e-02
6.104805e+00 2.311613e-05 3.202949e-02 -3.570150e-02
6.605205e+00 2.090143e-05 3.760529e-02 -3.527041e-02
7.105606e+00 1.894661e-05 4.348008e-02 -3.483890e-02
7.606006e+00 1.721582e-05 4.961916e-02 -3.440848e-02
8.106406e+00 1.567886e-05 5.598999e-02 -3.398036e-02
8.606807e+00 1.431017e-05 6.256236e-02 -3.355556e-02
9.107207e+00 1.308806e-05 6.930834e-02 -3.313489e-02
9.607608e+00 1.199404e-05 7.620231e-02 -3.271900e-02
1.010801e+01 1.101230e-05 8.322081e-02 -3.230841e-02
1.060841e+01 1.012924e-05 9.034246e-02 -3.190354e-02
1.110881e+01 9.333183e-06 9.754780e-02 -3.150471e-02
1.160921e+01 8.614005e-06 1.048192e-01 -3.111216e-02
1.210961e+01 7.962951e-06 1.121407e-01 -3.072607e-02
1.261001e+01 7.372403e-06 1.194980e-01 -3.034656e-02
1.311041e+01 6.835723e-06 1.268780e-01 -2.997370e-02
1.361081e+01 6.347109e-06 1.342691e-01 -2.960755e-02
1.411121e+01 5.901476e-06 1.416608e-01 -2.924809e-02
1.461161e+01 5.494357e-06 1.490437e-01 -2.889533e-02
1.511201e+01 5.121817e-06 1.564095e-01 -2.854921e-02
1.561241e+01 4.780385e-06 1.637506e-01 -2.820967e-02
1.611281e+01 4.466990e-06 1.710605e-01 -2.787666e-02
1.661321e+01 4.178909e-06 1.783331e-01 -2.755007e-02
1.711361e+01 3.913723e-06 1.855634e-01 -2.722981e-02
1.761401e+01 3.669279e-06 1.927465e-01 -2.691579e-02
1.811441e+01 3.443658e-06 1.998786e-01 -2.660788e-02
1.861481e+01 3.235144e-06 2.069559e-01 -2.630599e-02
1.911522e+01 3.042200e-06 2.139755e-01 -2.600999e-02
1.961562e+01 2.863452e-06 2.209345e-01 -2.571977e-02
2.011602e+01 2.697661e-06 2.278308e-01 -2.543519e-02
2.061642e+01 2.543715e-06 2.346623e-01 -2.515615e-02
2.111682e+01 2.400612e-06 2.414273e-01 -2.488252e-02
2.161722e+01 2.267446e-06 2.481245e-01 -2.461418e-02
2.211762e+01 2.143400e-06 2.547526e-01 -2.435100e-02
2.261802e+01 2.027734e-06 2.613108e-01 -2.409288e-02
2.311842e+01 1.919776e-06 2.677983e-01 -2.383969e-02
2.361882e+01 1.818917e-06 2.742146e-01 -2.359131e-02
2.411922e+01 1.724604e-06 2.805592e-01 -2.334764e-02
2.461962e+01 1.636333e-06 2.868320e-01 -2.310855e-02
2.512002e+01 1.553645e-06 2.930328e-01 -2.287395e-02
2.562042e+01 1.476120e-06 2.991616e-01 -2.264371e-02
2.612082e+01 1.403377e-06 3.052186e-01 -2.241774e-02
2.662122e+01 1.335065e-06 3.112040e-01 -2.219593e-02
2.712162e+01 1.270865e-06 3.171179e-01 -2.197819e-02
2.762202e+01 1.210481e-06 3.229609e-01 -2.176440e-02
2.812242e+01 1.153646e-06 3.287334e-01 -2.155449e-02
2.862282e+01 1.100110e-06 3.344357e-01 -2.134834e-02
2.912322e+01 1.049648e-06 3.400686e-01 -2.114588e-02
2.962362e+01 1.002049e-06 3.456325e-01 -2.094701e-02
3.012402e+01 9.571208e-07 3.511281e-01 -2.075165e-02
3.062442e+01 9.146848e-07 3.565560e-01 -2.055971e-02
3.112482e+01 8.745770e-07 3.619170e-01 -2.037111e-02
3.162523e+01 8.366457e-07 3.672118e-01 -2.018577e-02
3.212563e+01 8.007505e-07 3.724411e-01 -2.000361e-02
3.262603e+01 7.667616e-07 3.776056e-01 -1.982456e-02
3.312643e+01 7.345586e-07 3.827061e-01 -1.964854e-02
3.362683e+01 7.040301e-07 3.877435e-01 -1.947548e-02
3.412723e+01 6.750726e-07 3.927185e-01 -1.930532e-02
3.462763e+01 6.475899e-07 3.976320e-01 -1.913798e-02
3.512803e+01 6.214927e-07 4.024846e-01 -1.897340e-02
3.562843e+01 5.966981e-07 4.072774e-01 -1.881151e-02
3.612883e+01 5.731286e-07 4.120109e-01 -1.865226e-02
3.662923e+01 5.507124e-07 4.166862e-01 -1.849558e-02
3.712963e+01 5.293823e-07 4.213040e-01 -1.834141e-02
3.763003e+01 5.090757e-07 4.258650e-01 -1.818970e-02
3.813043e+01 4.897343e-07 4.303702e-01 -1.804039e-02
3.863083e+01 4.713033e-07 4.348203e-01 -1.789342e-02
3.913123e+01 4.537320e-07 4.392162e-01 -1.774876e-02
3.963163e+01 4.369725e-07 4.435586e-01 -1.760633e-02
4.013203e+01 4.209802e-07 4.478483e-01 -1.746610e-02
4.063243e+01 4.057134e-07 4.520861e-01 -1.732802e-02
4.113283e+01 3.911329e-07 4.562727e-01 -1.719203e-02
4.163323e+01 3.772019e-07 4.604091e-01 -1.705810e-02
