! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_4159.txt
! R    D    M    P
1000
1.000000e-01 1.208211e-04 1.181440e-17 -4.175632e-02
6.004004e-01 1.033527e-04 1.209376e-04 -4.172466e-02
1.100801e+00 8.895249e-05 5.769777e-04 -4.154441e-02
1.601201e+00 7.699213e-05 1.536513e-03 -4.128439e-02
2.101602e+00 6.698907e-05 3.087403e-03 -4.096361e-02
2.602002e+00 5.856911e-05 5.264414e-03 -4.059597e-02
3.102402e+00 5.143929e-05 8.067812e-03 -4.019235e-02
3.602803e+00 4.536828e-05 1.147598e-02 -3.976147e-02
4.103203e+00 4.017196e-05 1.545402e-02 -3.931034e-02
4.603604e+00 3.570264e-05 1.995952e-02 -3.884461e-02
5.104004e+00 3.184106e-05 2.494651e-02 -3.836888e-02
5.604404e+00 2.849026e-05 3.036805e-02 -3.788686e-02
6.104805e+00 2.557092e-05 3.617790e-02 -3.740155e-02
6.605205e+00 2.301778e-05 4.233165e-02 -3.691541e-02
7.105606e+00 2.077686e-05 4.878729e-02 -3.643042e-02
7.606006e+00 1.880327e-05 5.550566e-02 -3.594816e-02
8.106406e+00 1.705949e-05 6.245048e-02 -3.546993e-02
8.606807e+00 1.551403e-05 6.958849e-02 -3.499675e-02
9.107207e+00 1.414034e-05 7.688927e-02 -3.452943e-02
9.607608e+00 1.291593e-05 8.432521e-02 -3.406862e-02
1.010801e+01 1.182169e-05 9.187127e-02 -3.361480e-02
1.060841e+01 1.084131e-05 9.950487e-02 -3.316835e-02
1.110881e+01 9.960812e-06 1.072057e-01 -3.272954e-02
1.160921e+01 9.168201e-06 1.149554e-01 -3.229857e-02
1.210961e+01 8.453124e-06 1.227378e-01 -3.187557e-02
1.261001e+01 7.806632e-06 1.305382e-01 -3.146059e-02
1.311041e+01 7.220957e-06 1.383434e-01 -3.105366e-02
1.361081e+01 6.689344e-06 1.461420e-01 -3.065476e-02
1.411121e+01 6.205898e-06 1.539237e-01 -3.026386e-02
1.461161e+01 5.765463e-06 1.616792e-01 -2.988087e-02
1.511201e+01 5.363516e-06 1.694005e-01 -2.950570e-02
1.561241e+01 4.996082e-06 1.770805e-01 -2.913825e-02
1.611281e+01 4.659656e-06 1.847129e-01 -2.877839e-02
1.661321e+01 4.351144e-06 1.922923e-01 -2.842598e-02
1.711361e+01 4.067806e-06 1.998139e-01 -2.808089e-02
1.761401e+01 3.807212e-06 2.072735e-01 -2.774298e-02
1.811441e+01 3.567200e-06 2.146675e-01 -2.741208e-02
1.861481e+01 3.345847e-06 2.219929e-01 -2.708805e-02
1.911522e+01 3.141436e-06 2.292471e-01 -2.677074e-02
1.961562e+01 2.952431e-06 2.364278e-01 -2.645998e-02
2.011602e+01 2.777456e-06 2.435333e-01 -2.615562e-02
