! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_0223.txt
! R    D    M    P
1000
1.000000e-01 6.343543e-05 2.296465e-17 -3.429575e-02
6.004004e-01 5.605090e-05 6.552203e-05 -3.427912e-02
1.100801e+00 4.971274e-05 3.184508e-04 -3.418142e-02
1.601201e+00 4.424760e-05 8.645322e-04 -3.403724e-02
2.101602e+00 3.951479e-05 1.769941e-03 -3.385564e-02
2.602002e+00 3.539943e-05 3.072215e-03 -3.364346e-02
3.102402e+00 3.180715e-05 4.788299e-03 -3.340631e-02
3.602803e+00 2.866003e-05 6.920487e-03 -3.314885e-02
4.103203e+00 2.589336e-05 9.460802e-03 -3.287500e-02
4.603604e+00 2.345319e-05 1.239424e-02 -3.258806e-02
5.104004e+00 2.129427e-05 1.570115e-02 -3.229083e-02
5.604404e+00 1.937853e-05 1.935901e-02 -3.198565e-02
6.104805e+00 1.767378e-05 2.334368e-02 -3.167452e-02
6.605205e+00 1.615271e-05 2.763036e-02 -3.135913e-02
7.105606e+00 1.479203e-05 3.219424e-02 -3.104092e-02
7.606006e+00 1.357185e-05 3.701100e-02 -3.072110e-02
8.106406e+00 1.247509e-05 4.205709e-02 -3.040069e-02
8.606807e+00 1.148705e-05 4.730999e-02 -3.008056e-02
9.107207e+00 1.059503e-05 5.274833e-02 -2.976146e-02
9.607608e+00 9.788048e-06 5.835196e-02 -2.944399e-02
1.010801e+01 9.056538e-06 6.410197e-02 -2.912868e-02
1.060841e+01 8.392178e-06 6.998071e-02 -2.881597e-02
1.110881e+01 7.787700e-06 7.597177e-02 -2.850621e-02
1.160921e+01 7.236734e-06 8.205992e-02 -2.819970e-02
1.210961e+01 6.733691e-06 8.823107e-02 -2.789670e-02
1.261001e+01 6.273649e-06 9.447224e-02 -2.759739e-02
1.311041e+01 5.852268e-06 1.007714e-01 -2.730195e-02
1.361081e+01 5.465711e-06 1.071177e-01 -2.701049e-02
1.411121e+01 5.110577e-06 1.135008e-01 -2.672311e-02
1.461161e+01 4.783849e-06 1.199116e-01 -2.643989e-02
1.511201e+01 4.482839e-06 1.263417e-01 -2.616087e-02
1.561241e+01 4.205156e-06 1.327832e-01 -2.588608e-02
1.611281e+01 3.948661e-06 1.392291e-01 -2.561554e-02
1.661321e+01 3.711442e-06 1.456730e-01 -2.534925e-02
1.711361e+01 3.491786e-06 1.521090e-01 -2.508719e-02
1.761401e+01 3.288154e-06 1.585319e-01 -2.482934e-02
1.811441e+01 3.099162e-06 1.649367e-01 -2.457568e-02
1.861481e+01 2.923564e-06 1.713192e-01 -2.432617e-02
1.911522e+01 2.760237e-06 1.776754e-01 -2.408077e-02
1.961562e+01 2.608166e-06 1.840017e-01 -2.383942e-02
2.011602e+01 2.466430e-06 1.902950e-01 -2.360207e-02
2.061642e+01 2.334199e-06 1.965523e-01 -2.336868e-02
2.111682e+01 2.210718e-06 2.027711e-01 -2.313917e-02
2.161722e+01 2.095299e-06 2.089491e-01 -2.291350e-02
2.211762e+01 1.987320e-06 2.150842e-01 -2.269159e-02
2.261802e+01 1.886212e-06 2.211747e-01 -2.247339e-02
2.311842e+01 1.791456e-06 2.272190e-01 -2.225882e-02
2.361882e+01 1.702580e-06 2.332156e-01 -2.204783e-02
2.411922e+01 1.619150e-06 2.391633e-01 -2.184035e-02
2.461962e+01 1.540771e-06 2.450611e-01 -2.163631e-02
2.512002e+01 1.467080e-06 2.509080e-01 -2.143565e-02
2.562042e+01 1.397745e-06 2.567033e-01 -2.123830e-02
2.612082e+01 1.332460e-06 2.624464e-01 -2.104420e-02
2.662122e+01 1.270944e-06 2.681368e-01 -2.085328e-02
2.712162e+01 1.212939e-06 2.737739e-01 -2.066548e-02
2.762202e+01 1.158207e-06 2.793575e-01 -2.048074e-02
2.812242e+01 1.106529e-06 2.848874e-01 -2.029899e-02
2.862282e+01 1.057703e-06 2.903634e-01 -2.012018e-02
2.912322e+01 1.011541e-06 2.957854e-01 -1.994424e-02
2.962362e+01 9.678720e-07 3.011534e-01 -1.977111e-02
3.012402e+01 9.265349e-07 3.064674e-01 -1.960075e-02
3.062442e+01 8.873821e-07 3.117276e-01 -1.943308e-02
3.112482e+01 8.502766e-07 3.169340e-01 -1.926805e-02
3.162523e+01 8.150911e-07 3.220870e-01 -1.910562e-02
3.212563e+01 7.817076e-07 3.271867e-01 -1.894572e-02
3.262603e+01 7.500165e-07 3.322334e-01 -1.878830e-02
3.312643e+01 7.199158e-07 3.372274e-01 -1.863332e-02
3.362683e+01 6.913107e-07 3.421690e-01 -1.848071e-02
3.412723e+01 6.641127e-07 3.470587e-01 -1.833044e-02
3.462763e+01 6.382398e-07 3.518967e-01 -1.818245e-02
3.512803e+01 6.136150e-07 3.566836e-01 -1.803670e-02
3.562843e+01 5.901668e-07 3.614197e-01 -1.789314e-02
3.612883e+01 5.678284e-07 3.661054e-01 -1.775172e-02
3.662923e+01 5.465373e-07 3.707413e-01 -1.761240e-02
3.712963e+01 5.262352e-07 3.753278e-01 -1.747515e-02
3.763003e+01 5.068673e-07 3.798654e-01 -1.733991e-02
3.813043e+01 4.883826e-07 3.843546e-01 -1.720664e-02
3.863083e+01 4.707332e-07 3.887959e-01 -1.707532e-02
3.913123e+01 4.538741e-07 3.931897e-01 -1.694588e-02
3.963163e+01 4.377633e-07 3.975367e-01 -1.681831e-02
4.013203e+01 4.223612e-07 4.018373e-01 -1.669256e-02
4.063243e+01 4.076307e-07 4.060921e-01 -1.656859e-02
4.113283e+01 3.935371e-07 4.103015e-01 -1.644637e-02
4.163323e+01 3.800474e-07 4.144661e-01 -1.632587e-02
4.213363e+01 3.671310e-07 4.185864e-01 -1.620704e-02
4.263403e+01 3.547589e-07 4.226630e-01 -1.608987e-02
4.313443e+01 3.429036e-07 4.266963e-01 -1.597431e-02
4.363483e+01 3.315396e-07 4.306870e-01 -1.586033e-02
4.413524e+01 3.206426e-07 4.346355e-01 -1.574791e-02
4.463564e+01 3.101898e-07 4.385423e-01 -1.563701e-02
4.513604e+01 3.001596e-07 4.424080e-01 -1.552760e-02
4.563644e+01 2.905316e-07 4.462331e-01 -1.541966e-02
4.613684e+01 2.812866e-07 4.500181e-01 -1.531315e-02
4.663724e+01 2.724066e-07 4.537635e-01 -1.520806e-02
4.713764e+01 2.638743e-07 4.574698e-01 -1.510435e-02
4.763804e+01 2.556736e-07 4.611375e-01 -1.500199e-02
4.813844e+01 2.477890e-07 4.647672e-01 -1.490097e-02
4.863884e+01 2.402061e-07 4.683592e-01 -1.480126e-02
4.913924e+01 2.329111e-07 4.719142e-01 -1.470282e-02
4.963964e+01 2.258911e-07 4.754325e-01 -1.460565e-02
5.014004e+01 2.191336e-07 4.789146e-01 -1.450971e-02
5.064044e+01 2.126269e-07 4.823611e-01 -1.441499e-02
5.114084e+01 2.063600e-07 4.857725e-01 -1.432145e-02
5.164124e+01 2.003224e-07 4.891490e-01 -1.422909e-02
5.214164e+01 1.945040e-07 4.924913e-01 -1.413788e-02
5.264204e+01 1.888953e-07 4.957998e-01 -1.404779e-02
5.314244e+01 1.834874e-07 4.990748e-01 -1.395881e-02
5.364284e+01 1.782717e-07 5.023170e-01 -1.387092e-02
5.414324e+01 1.732401e-07 5.055266e-01 -1.378410e-02
5.464364e+01 1.683847e-07 5.087041e-01 -1.369832e-02
5.514404e+01 1.636983e-07 5.118500e-01 -1.361358e-02
5.564444e+01 1.591738e-07 5.149647e-01 -1.352986e-02
5.614484e+01 1.548046e-07 5.180485e-01 -1.344712e-02
5.664525e+01 1.505843e-07 5.211020e-01 -1.336537e-02
5.714565e+01 1.465069e-07 5.241254e-01 -1.328458e-02
5.764605e+01 1.425666e-07 5.271192e-01 -1.320474e-02
5.814645e+01 1.387579e-07 5.300838e-01 -1.312582e-02
5.864685e+01 1.350755e-07 5.330195e-01 -1.304782e-02
5.914725e+01 1.315146e-07 5.359268e-01 -1.297072e-02
5.964765e+01 1.280702e-07 5.388060e-01 -1.289450e-02
6.014805e+01 1.247378e-07 5.416575e-01 -1.281915e-02
6.064845e+01 1.215132e-07 5.444816e-01 -1.274465e-02
6.114885e+01 1.183921e-07 5.472787e-01 -1.267100e-02
