! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_2242.txt
! R    D    M    P
1000
1.000000e-01 5.774137e-05 1.047858e-17 -3.338717e-02
6.004004e-01 5.125350e-05 5.990566e-05 -3.337204e-02
1.100801e+00 4.565179e-05 2.919252e-04 -3.328270e-02
1.601201e+00 4.079489e-05 7.947025e-04 -3.315045e-02
2.101602e+00 3.656706e-05 1.631345e-03 -3.298337e-02
2.602002e+00 3.287301e-05 2.838905e-03 -3.278762e-02
3.102402e+00 2.963387e-05 4.435442e-03 -3.256826e-02
3.602803e+00 2.678404e-05 6.425301e-03 -3.232955e-02
4.103203e+00 2.426870e-05 8.803054e-03 -3.207505e-02
4.603604e+00 2.204183e-05 1.155645e-02 -3.180782e-02
5.104004e+00 2.006462e-05 1.466860e-02 -3.153043e-02
5.604404e+00 1.830422e-05 1.811965e-02 -3.124507e-02
6.104805e+00 1.673271e-05 2.188795e-02 -3.095362e-02
6.605205e+00 1.532630e-05 2.595100e-02 -3.065767e-02
7.105606e+00 1.406460e-05 3.028604e-02 -3.035857e-02
7.606006e+00 1.293009e-05 3.487059e-02 -3.005748e-02
8.106406e+00 1.190771e-05 3.968273e-02 -2.975539e-02
8.606807e+00 1.098441e-05 4.470134e-02 -2.945314e-02
9.107207e+00 1.014889e-05 4.990626e-02 -2.915143e-02
9.607608e+00 9.391319e-06 5.527841e-02 -2.885088e-02
1.010801e+01 8.703135e-06 6.079975e-02 -2.855201e-02
1.060841e+01 8.076849e-06 6.645339e-02 -2.825523e-02
1.110881e+01 7.505898e-06 7.222354e-02 -2.796092e-02
1.160921e+01 6.984518e-06 7.809547e-02 -2.766938e-02
1.210961e+01 6.507632e-06 8.405553e-02 -2.738087e-02
1.261001e+01 6.070761e-06 9.009103e-02 -2.709559e-02
1.311041e+01 5.669943e-06 9.619026e-02 -2.681372e-02
1.361081e+01 5.301665e-06 1.023424e-01 -2.653538e-02
1.411121e+01 4.962808e-06 1.085375e-01 -2.626070e-02
1.461161e+01 4.650597e-06 1.147664e-01 -2.598974e-02
1.511201e+01 4.362555e-06 1.210206e-01 -2.572259e-02
1.561241e+01 4.096473e-06 1.272924e-01 -2.545927e-02
1.611281e+01 3.850371e-06 1.335748e-01 -2.519981e-02
1.661321e+01 3.622476e-06 1.398613e-01 -2.494424e-02
1.711361e+01 3.411194e-06 1.461459e-01 -2.469254e-02
1.761401e+01 3.215095e-06 1.524233e-01 -2.444472e-02
1.811441e+01 3.032886e-06 1.586885e-01 -2.420076e-02
1.861481e+01 2.863405e-06 1.649371e-01 -2.396062e-02
1.911522e+01 2.705598e-06 1.711649e-01 -2.372428e-02
1.961562e+01 2.558514e-06 1.773684e-01 -2.349170e-02
2.011602e+01 2.421291e-06 1.835442e-01 -2.326285e-02
2.061642e+01 2.293145e-06 1.896892e-01 -2.303766e-02
2.111682e+01 2.173366e-06 1.958008e-01 -2.281611e-02
2.161722e+01 2.061306e-06 2.018764e-01 -2.259813e-02
2.211762e+01 1.956377e-06 2.079141e-01 -2.238368e-02
2.261802e+01 1.858040e-06 2.139116e-01 -2.217270e-02
2.311842e+01 1.765804e-06 2.198675e-01 -2.196513e-02
2.361882e+01 1.679222e-06 2.257800e-01 -2.176091e-02
2.411922e+01 1.597882e-06 2.316478e-01 -2.156000e-02
2.461962e+01 1.521408e-06 2.374698e-01 -2.136233e-02
2.512002e+01 1.449455e-06 2.432449e-01 -2.116784e-02
2.562042e+01 1.381705e-06 2.489721e-01 -2.097647e-02
2.612082e+01 1.317868e-06 2.546508e-01 -2.078818e-02
2.662122e+01 1.257676e-06 2.602803e-01 -2.060289e-02
2.712162e+01 1.200881e-06 2.658600e-01 -2.042056e-02
2.762202e+01 1.147256e-06 2.713895e-01 -2.024112e-02
2.812242e+01 1.096591e-06 2.768683e-01 -2.006452e-02
2.862282e+01 1.048693e-06 2.822964e-01 -1.989071e-02
2.912322e+01 1.003381e-06 2.876734e-01 -1.971963e-02
2.962362e+01 9.604908e-07 2.929993e-01 -1.955122e-02
3.012402e+01 9.198677e-07 2.982739e-01 -1.938544e-02
3.062442e+01 8.813697e-07 3.034973e-01 -1.922222e-02
3.112482e+01 8.448648e-07 3.086696e-01 -1.906153e-02
3.162523e+01 8.102305e-07 3.137908e-01 -1.890330e-02
3.212563e+01 7.773529e-07 3.188611e-01 -1.874750e-02
3.262603e+01 7.461261e-07 3.238806e-01 -1.859406e-02
3.312643e+01 7.164517e-07 3.288496e-01 -1.844295e-02
3.362683e+01 6.882379e-07 3.337684e-01 -1.829411e-02
3.412723e+01 6.613994e-07 3.386372e-01 -1.814751e-02
3.462763e+01 6.358565e-07 3.434563e-01 -1.800309e-02
3.512803e+01 6.115349e-07 3.482261e-01 -1.786081e-02
3.562843e+01 5.883651e-07 3.529470e-01 -1.772064e-02
3.612883e+01 5.662822e-07 3.576192e-01 -1.758252e-02
3.662923e+01 5.452258e-07 3.622432e-01 -1.744641e-02
3.712963e+01 5.251390e-07 3.668194e-01 -1.731228e-02
3.763003e+01 5.059688e-07 3.713483e-01 -1.718009e-02
3.813043e+01 4.876654e-07 3.758302e-01 -1.704980e-02
3.863083e+01 4.701823e-07 3.802656e-01 -1.692137e-02
3.913123e+01 4.534756e-07 3.846549e-01 -1.679476e-02
3.963163e+01 4.375044e-07 3.889987e-01 -1.666994e-02
4.013203e+01 4.222302e-07 3.932974e-01 -1.654688e-02
4.063243e+01 4.076168e-07 3.975514e-01 -1.642553e-02
4.113283e+01 3.936302e-07 4.017612e-01 -1.630587e-02
4.163323e+01 3.802384e-07 4.059274e-01 -1.618786e-02
4.213363e+01 3.674112e-07 4.100503e-01 -1.607147e-02
4.263403e+01 3.551204e-07 4.141305e-01 -1.595667e-02
4.313443e+01 3.433393e-07 4.181685e-01 -1.584343e-02
4.363483e+01 3.320428e-07 4.221647e-01 -1.573172e-02
4.413524e+01 3.212070e-07 4.261197e-01 -1.562151e-02
4.463564e+01 3.108096e-07 4.300338e-01 -1.551278e-02
4.513604e+01 3.008296e-07 4.339077e-01 -1.540548e-02
4.563644e+01 2.912469e-07 4.377418e-01 -1.529960e-02
4.613684e+01 2.820428e-07 4.415365e-01 -1.519512e-02
4.663724e+01 2.731994e-07 4.452924e-01 -1.509199e-02
4.713764e+01 2.646999e-07 4.490099e-01 -1.499021e-02
4.763804e+01 2.565284e-07 4.526895e-01 -1.488974e-02
4.813844e+01 2.486698e-07 4.563316e-01 -1.479056e-02
4.863884e+01 2.411099e-07 4.599368e-01 -1.469264e-02
4.913924e+01 2.338350e-07 4.635055e-01 -1.459597e-02
4.963964e+01 2.268325e-07 4.670381e-01 -1.450052e-02
5.014004e+01 2.200901e-07 4.705351e-01 -1.440627e-02
5.064044e+01 2.135964e-07 4.739970e-01 -1.431320e-02
5.114084e+01 2.073405e-07 4.774242e-01 -1.422128e-02
5.164124e+01 2.013119e-07 4.808171e-01 -1.413050e-02
5.214164e+01 1.955008e-07 4.841762e-01 -1.404083e-02
5.264204e+01 1.898980e-07 4.875019e-01 -1.395226e-02
5.314244e+01 1.844944e-07 4.907947e-01 -1.386476e-02
5.364284e+01 1.792816e-07 4.940549e-01 -1.377832e-02
5.414324e+01 1.742516e-07 4.972830e-01 -1.369292e-02
5.464364e+01 1.693969e-07 5.004794e-01 -1.360854e-02
5.514404e+01 1.647100e-07 5.036444e-01 -1.352516e-02
5.564444e+01 1.601841e-07 5.067786e-01 -1.344277e-02
5.614484e+01 1.558126e-07 5.098823e-01 -1.336135e-02
5.664525e+01 1.515892e-07 5.129558e-01 -1.328088e-02
5.714565e+01 1.475079e-07 5.159997e-01 -1.320135e-02
5.764605e+01 1.435631e-07 5.190142e-01 -1.312274e-02
5.814645e+01 1.397492e-07 5.219997e-01 -1.304503e-02
5.864685e+01 1.360612e-07 5.249566e-01 -1.296822e-02
