! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_0481.txt
! R    D    M    P
1000
1.000000e-01 7.009722e-05 1.931202e-17 -3.536266e-02
6.004004e-01 6.165893e-05 7.208756e-05 -3.534429e-02
1.100801e+00 5.445674e-05 3.494466e-04 -3.523680e-02
1.601201e+00 4.827902e-05 9.460996e-04 -3.507869e-02
2.101602e+00 4.295535e-05 1.931784e-03 -3.488013e-02
2.602002e+00 3.834752e-05 3.344592e-03 -3.464877e-02
3.102402e+00 3.434283e-05 5.200166e-03 -3.439084e-02
3.602803e+00 3.084874e-05 7.498411e-03 -3.411151e-02
4.103203e+00 2.778894e-05 1.022839e-02 -3.381507e-02
4.603604e+00 2.510008e-05 1.337191e-02 -3.350515e-02
5.104004e+00 2.272940e-05 1.690611e-02 -3.318475e-02
5.604404e+00 2.063266e-05 2.080537e-02 -3.285644e-02
6.104805e+00 1.877269e-05 2.504265e-02 -3.252234e-02
6.605205e+00 1.711804e-05 2.959052e-02 -3.218428e-02
7.105606e+00 1.564208e-05 3.442176e-02 -3.184375e-02
7.606006e+00 1.432209e-05 3.950991e-02 -3.150205e-02
8.106406e+00 1.313868e-05 4.482957e-02 -3.116026e-02
8.606807e+00 1.207520e-05 5.035656e-02 -3.081926e-02
9.107207e+00 1.111735e-05 5.606810e-02 -3.047983e-02
9.607608e+00 1.025276e-05 6.194280e-02 -3.014260e-02
1.010801e+01 9.470734e-06 6.796074e-02 -2.980810e-02
1.060841e+01 8.761969e-06 7.410338e-02 -2.947675e-02
1.110881e+01 8.118373e-06 8.035358e-02 -2.914893e-02
1.160921e+01 7.532877e-06 8.669552e-02 -2.882493e-02
1.210961e+01 6.999291e-06 9.311463e-02 -2.850497e-02
1.261001e+01 6.512184e-06 9.959750e-02 -2.818927e-02
1.311041e+01 6.066774e-06 1.061319e-01 -2.787795e-02
1.361081e+01 5.658846e-06 1.127065e-01 -2.757113e-02
1.411121e+01 5.284674e-06 1.193112e-01 -2.726890e-02
1.461161e+01 4.940957e-06 1.259365e-01 -2.697131e-02
1.511201e+01 4.624765e-06 1.325739e-01 -2.667840e-02
1.561241e+01 4.333492e-06 1.392156e-01 -2.639018e-02
1.611281e+01 4.064817e-06 1.458547e-01 -2.610665e-02
1.661321e+01 3.816665e-06 1.524847e-01 -2.582779e-02
1.711361e+01 3.587182e-06 1.590999e-01 -2.555358e-02
1.761401e+01 3.374706e-06 1.656951e-01 -2.528399e-02
1.811441e+01 3.177746e-06 1.722654e-01 -2.501896e-02
1.861481e+01 2.994960e-06 1.788067e-01 -2.475845e-02
1.911522e+01 2.825141e-06 1.853153e-01 -2.450241e-02
1.961562e+01 2.667199e-06 1.917876e-01 -2.425076e-02
2.011602e+01 2.520152e-06 1.982206e-01 -2.400345e-02
2.061642e+01 2.383107e-06 2.046116e-01 -2.376041e-02
2.111682e+01 2.255260e-06 2.109582e-01 -2.352157e-02
2.161722e+01 2.135879e-06 2.172583e-01 -2.328685e-02
2.211762e+01 2.024300e-06 2.235099e-01 -2.305618e-02
2.261802e+01 1.919918e-06 2.297115e-01 -2.282950e-02
2.311842e+01 1.822182e-06 2.358616e-01 -2.260671e-02
2.361882e+01 1.730592e-06 2.419590e-01 -2.238775e-02
2.411922e+01 1.644688e-06 2.480025e-01 -2.217255e-02
2.461962e+01 1.564053e-06 2.539914e-01 -2.196102e-02
2.512002e+01 1.488303e-06 2.599248e-01 -2.175310e-02
2.562042e+01 1.417086e-06 2.658022e-01 -2.154870e-02
2.612082e+01 1.350081e-06 2.716230e-01 -2.134777e-02
2.662122e+01 1.286993e-06 2.773869e-01 -2.115022e-02
2.712162e+01 1.227549e-06 2.830935e-01 -2.095599e-02
2.762202e+01 1.171499e-06 2.887428e-01 -2.076500e-02
2.812242e+01 1.118615e-06 2.943347e-01 -2.057718e-02
2.862282e+01 1.068683e-06 2.998690e-01 -2.039248e-02
2.912322e+01 1.021507e-06 3.053458e-01 -2.021081e-02
2.962362e+01 9.769076e-07 3.107653e-01 -2.003213e-02
3.012402e+01 9.347171e-07 3.161276e-01 -1.985636e-02
3.062442e+01 8.947810e-07 3.214330e-01 -1.968344e-02
3.112482e+01 8.569563e-07 3.266816e-01 -1.951331e-02
3.162523e+01 8.211102e-07 3.318738e-01 -1.934590e-02
3.212563e+01 7.871199e-07 3.370100e-01 -1.918117e-02
3.262603e+01 7.548712e-07 3.420905e-01 -1.901906e-02
3.312643e+01 7.242580e-07 3.471157e-01 -1.885950e-02
3.362683e+01 6.951818e-07 3.520861e-01 -1.870245e-02
3.412723e+01 6.675508e-07 3.570021e-01 -1.854785e-02
3.462763e+01 6.412797e-07 3.618642e-01 -1.839564e-02
3.512803e+01 6.162888e-07 3.666729e-01 -1.824578e-02
3.562843e+01 5.925041e-07 3.714287e-01 -1.809822e-02
3.612883e+01 5.698563e-07 3.761321e-01 -1.795291e-02
3.662923e+01 5.482807e-07 3.807837e-01 -1.780980e-02
3.712963e+01 5.277171e-07 3.853840e-01 -1.766885e-02
3.763003e+01 5.081089e-07 3.899335e-01 -1.753001e-02
3.813043e+01 4.894035e-07 3.944329e-01 -1.739323e-02
3.863083e+01 4.715512e-07 3.988827e-01 -1.725847e-02
3.913123e+01 4.545059e-07 4.032834e-01 -1.712570e-02
3.963163e+01 4.382241e-07 4.076357e-01 -1.699487e-02
4.013203e+01 4.226652e-07 4.119401e-01 -1.686594e-02
4.063243e+01 4.077910e-07 4.161972e-01 -1.673887e-02
4.113283e+01 3.935656e-07 4.204076e-01 -1.661363e-02
4.163323e+01 3.799553e-07 4.245719e-01 -1.649017e-02
4.213363e+01 3.669285e-07 4.286906e-01 -1.636846e-02
4.263403e+01 3.544554e-07 4.327643e-01 -1.624847e-02
4.313443e+01 3.425080e-07 4.367936e-01 -1.613016e-02
4.363483e+01 3.310600e-07 4.407791e-01 -1.601350e-02
4.413524e+01 3.200864e-07 4.447213e-01 -1.589846e-02
4.463564e+01 3.095639e-07 4.486208e-01 -1.578500e-02
4.513604e+01 2.994704e-07 4.524782e-01 -1.567309e-02
4.563644e+01 2.897850e-07 4.562940e-01 -1.556270e-02
4.613684e+01 2.804882e-07 4.600687e-01 -1.545381e-02
4.663724e+01 2.715614e-07 4.638030e-01 -1.534638e-02
4.713764e+01 2.629869e-07 4.674973e-01 -1.524038e-02
4.763804e+01 2.547484e-07 4.711522e-01 -1.513579e-02
4.813844e+01 2.468300e-07 4.747683e-01 -1.503259e-02
4.863884e+01 2.392170e-07 4.783460e-01 -1.493074e-02
4.913924e+01 2.318953e-07 4.818858e-01 -1.483022e-02
4.963964e+01 2.248517e-07 4.853884e-01 -1.473100e-02
5.014004e+01 2.180736e-07 4.888541e-01 -1.463306e-02
5.064044e+01 2.115490e-07 4.922836e-01 -1.453638e-02
5.114084e+01 2.052667e-07 4.956772e-01 -1.444093e-02
5.164124e+01 1.992159e-07 4.990355e-01 -1.434669e-02
5.214164e+01 1.933865e-07 5.023590e-01 -1.425364e-02
5.264204e+01 1.877689e-07 5.056480e-01 -1.416176e-02
5.314244e+01 1.823538e-07 5.089032e-01 -1.407102e-02
5.364284e+01 1.771325e-07 5.121250e-01 -1.398140e-02
5.414324e+01 1.720968e-07 5.153138e-01 -1.389289e-02
5.464364e+01 1.672389e-07 5.184700e-01 -1.380547e-02
5.514404e+01 1.625512e-07 5.215942e-01 -1.371911e-02
5.564444e+01 1.580267e-07 5.246867e-01 -1.363379e-02
5.614484e+01 1.536585e-07 5.277481e-01 -1.354950e-02
5.664525e+01 1.494402e-07 5.307786e-01 -1.346623e-02
5.714565e+01 1.453657e-07 5.337787e-01 -1.338394e-02
5.764605e+01 1.414292e-07 5.367489e-01 -1.330263e-02
5.814645e+01 1.376251e-07 5.396896e-01 -1.322228e-02
5.864685e+01 1.339480e-07 5.426011e-01 -1.314288e-02
5.914725e+01 1.303930e-07 5.454839e-01 -1.306439e-02
